prof,awards,famous,height,dob,birthplace
"Writer,Director,Producer",no awards no nominations,"The Father,The Son",1.85 m,"June 28, 1979","Paris, France"
"Actress,Director,Producer",no awards no nominations,"Chicago Fire,Arbitrage,Hightown,Bros",1.63 m,"July 26, 1986","St. Petersburg, Florida, USA"
"Actress,Director,Producer",no awards no nominations,"Cabaret,Arthur,New York, New York,Arrested Development",1.63 m,"March 12, 1946","Los Angeles, California, USA"
"Actress,Animation Department,Producer",no awards no nominations,"Modern Love,The Glorias,The Haunting of Hill House,Becky",2 m,"October 7, 2005","New York City, New York, USA"
"Actress,Producer,Writer",no awards no nominations,"Wonder,Homefront,The Fosters,About a Boy",1.63 m,"May 27, 2001","Chicago, Illinois, USA"
"Actor,Producer,Director",no awards no nominations,"Iron Man,Star Trek,Elysium,Escape Plan",(1.78 m,"February 16, 1963","Los Angeles, California, USA"
"Actor,Director,Producer",no awards no nominations,"Entourage,The Notebook,John Q,Entourage",1.65 m,"March 5, 1974","New York City, New York, USA"
"Actor,Producer,Director",no awards no nominations,"Curb Your Enthusiasm,Safety Not Guaranteed,WALL·E,The Bounty Hunter",1.85 m,"June 5, 1962","Chicago, Illinois, USA"
Actor,no awards no nominations,"The Flight Attendant,Genius,11.22.63,Grey's Anatomy",1.73 m,"March 26, 1973","Minneapolis, Minnesota, USA"
Actress,no awards no nominations,"Saw IV,Saw VI,Survival of the Dead,Repo! The Genetic Opera",1.70 m,"September 7, 1981","Lethbridge, Alberta, Canada"
"Actress,Producer,Director",no awards no nominations,"Loudermilk,Big Sky,Nancy Drew,Dirk Gently's Holistic Detective Agency",1.70 m,"September 7, 1981","Lethbridge, Alberta, Canada"
"Actress,Producer,Soundtrack",no awards no nominations,"8 femmes,The Beach,Jeanne et le garçon formidable,L'eau froide",(1.66 m,"November 15, 1976","Paris, France"
"Actor,Producer,Director",no awards no nominations,"Cyrano de Bergerac,The Man in the Iron Mask,1492: Conquest of Paradise,Green Card",(1.78 m,"December 27, 1948","Châteauroux, Indre, France"
"Actor,Producer,Soundtrack",no awards no nominations,"American Pie,Election,We Were Soldiers,Just Friends",1.85 m,"March 14, 1979","Hinsdale, Illinois, USA"
"Actor,Producer,Director",no awards no nominations,"Jurassic Park,Gandhi,The Great Escape,The Sand Pebbles",(1.69 m,"August 29, 1923","Cambridge, Cambridgeshire, England, UK"
"Actor,Writer,Producer",no awards no nominations,"Archer,Wet Hot American Summer,Dr. Katz, Professional Therapist,Not Another Teen Movie",1.68 m,"May 23, 1966","Worcester, Massachusetts, USA"
"Actress,Soundtrack",no awards no nominations,"The Little Things,Looking for Alaska,My Sister's Keeper,Medium",1.68 m,"October 22, 1992","Minneapolis, Minnesota, USA"
"Actress,Producer",no awards no nominations,"Dracula: Dead and Loving It,Dungeons and Dragons,Husbands and Wives,Dark Shadows",(1.66 m,"September 26, 1963","Fulham, London, England, UK"
"Writer,Producer,Director",no awards no nominations,"The Shawshank Redemption,The Green Mile,The Mist,The Walking Dead",3 m,"January 28, 1959","Montbéliard, Doubs, France"
"Actress,Soundtrack",no awards no nominations,"Jay and Silent Bob Strike Back,Bubble Boy,The Requiem Boogie,My Boss's Daughter",1.75 m,"August 6, 1974","Los Angeles, California, USA"
Actress,no awards no nominations,"Indigènes,La Maison D'en Face,Quand les anges s'en mêlent...,Made in China",(1.69 m,"December 7, 1980","Paris, France"
"Actor,Soundtrack",no awards no nominations,"The Shawshank Redemption,Daredevil,Mountain Top,24",1.88 m,"November 15, 1945","Santa Monica, California, USA"
Actress,no awards no nominations,"Don't Breathe 2,Penny Dreadful: City of Angels,Here and Now,Fire Country",1.68 m,"March 8, 1990","Miami, Florida, USA"
"Actress,Soundtrack",no awards no nominations,"One on One,Recovery Road,Love & Basketball,The Proud Family",1.57 m,"September 16, 1986","Los Angeles, California, USA"
"Actress,Soundtrack",no awards no nominations,"Sorority Row,Wild Cherry,Hostage,The House Bunny",1.68 m,"August 16, 1988","Paducah, Kentucky, USA"
Actress,no awards no nominations,"Skyfall,5 to 7,Kill Switch,Twin Peaks",1.75 m,"May 19, 1979","Paris, France"
"Actor,Producer",no awards no nominations,"The Witcher: Blood Origin,Giri/Haji,The Capture",1.73 m,"May 19, 1979","Paris, France"
"Producer,Writer,Director",no awards no nominations,"Harry Potter and the Philosopher's Stone,Harry Potter and the Chamber of Secrets,The Help,Harry Potter and the Prisoner of Azkaban",(1.74 m,"September 10, 1958","Spangler, Pennsylvania, USA"
"Actor,Additional Crew,Soundtrack",no awards no nominations,"Twin Peaks,The Crow,Flags of Our Fathers,Last Man Standing",1.68 m,"January 23, 1951","Detroit, Michigan, USA"
"Actor,Soundtrack",no awards no nominations,"The Magicians,Mad Men,The Nanny,Mom's Got a Date with a Vampire", (1.82 m,"February 9, 1955","London, England, UK"
"Actress,Producer,Writer",no awards no nominations,"Amar te duele,Street Kings,Lies in Plain Sight,Borderland",1.60 m,"August 24, 1983","Villahermosa, Tabasco, Mexico"
"Actor,Writer,Additional Crew",no awards no nominations,"Baymax,The Other Guys,Let's Be Cops,Dance Flick",1.85 m,"November 18, 1982","Huntington, Vermont, USA"
"Actor,Producer,Additional Crew",no awards no nominations,"The Magnificent Seven,Il Buono, Il Brutto, Il Cattivo,Baby Doll,The Holiday",1.70 m,"December 7, 1915","Red Hook, Brooklyn, New York City, New York, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Designing Women,What Women Want,Any Day Now,Delta",1.65 m,"July 30, 1956","Orlando, Florida, USA"
"Actor,Additional Crew,Soundtrack",no awards no nominations,"Shavua ve Yom,The Boys,Fauda,7 Days In Entebbe",1.73 m,"July 15, 1985",Israel
Actress,no awards no nominations,"The Unbearable Weight of Massive Talent,Everybody's Fine,Underworld: Evolution,Click",1.63 m,"January 31, 1999","London, England, UK"
"Actress,Producer",no awards no nominations,"The 100,Supernatural,Prison Break,iZombie",1.75 m,"February 1, 1985","Toronto, Ontario, Canada"
"Actress,Additional Crew,Producer",no awards no nominations,"Mean Girls,That's My Boy,What Women Want,Grease Live!",(1.66 m,"May 4, 1967","Washington, District of Columbia, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"Desperate Housewives,John Tucker Must Die,Beyond a Reasonable Doubt,God's Not Dead 2",1.85 m,"December 9, 1978","Carmel Valley, California, USA"
"Actor,Soundtrack",no awards no nominations,"CODA,Switched at Birth,You,Silent Notes",1.73 m,"December 24, 1989","Detroit, Michigan, USA"
"Actor,Additional Crew,Director",no awards no nominations,"Ozark,Homeland,She's Lost Control,Inside Amy Schumer",3 m,"October 10, 1975","San Angelo, Texas, USA"
"Actress,Producer",no awards no nominations,"Wheel of Fortune,Naked Gun 33 1/3: The Final Insult,Double Dragon,Goddess of Love",1.68 m,"February 18, 1957","North Myrtle Beach, South Carolina, USA"
"Actress,Producer,Director",no awards no nominations,"Days of Our Lives,Murder, She Baked,Open by Christmas,A Cow Walks Into a Bar",1.65 m,"September 19, 1976","Los Angeles, California, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"Rent,Dazed and Confused,A Beautiful Mind,Adventures in Babysitting",1.73 m,"October 26, 1971","Joliet, Illinois, USA"
"Actress,Writer",no awards no nominations,"Dazed and Confused,Pleasantville,True Crime,The Brady Bunch Movie",1.60 m,"December 17, 1974","Los Angeles, California, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Juno,The Vampire Diaries,Deadgirl,After We Collided",1.73 m,"May 13, 1987","Houston, Texas, USA"
"Actor,Soundtrack",no awards no nominations,"The Thin Man,Papa Gutta,My Man Godfrey,After the Thin Man", (1.79 m,"July 29, 1892","Pittsburgh, Pennsylvania, USA"
"Actress,Director,Writer",no awards no nominations,"Atonement,The Last Days on Mars,Dirty Dancing: Havana Nights,Suffragette",(1.74 m,"August 6, 1982","Hong Kong, British Crown Colony"
"Actress,Director,Writer",no awards no nominations,"Pulp Fiction,Capitães de Abril,Adão e Eva,Midsummer Madness",(1.74 m,"August 19, 1965","Lisbon, Portugal"
"Actress,Writer,Producer",no awards no nominations,"A Mother's Fury,Men in Black,The House That Jack Built,Saturday Night Live",1.73 m,"May 13, 1961","Syracuse, New York, USA"
Actress,no awards no nominations,"Malignant,California Man,Volcano,Courage Under Fire",1.68 m,"May 29, 1969","Maywood, Illinois, USA"
"Actor,Producer",no awards no nominations,"Wynonna Earp,Flashpoint,Lost Girl,Rookie Blue",(1.80 m,"June 4, 1976","Montreal, Quebec, Canada"
"Music Artist,Actress,Writer",no awards no nominations,"Sing,Sing 2,Jerry & Marge Go Large,Zoey's Extraordinary Christmas",1.63 m,"December 14, 1992","Wildomar, California, USA"
"Actor,Soundtrack",no awards no nominations,"Jesus Revolution,Super 8,The Kissing Booth,Players",3 m,"January 31, 1996","Monterey, California, USA"
"Actor,Producer,Executive",no awards no nominations,"Short Cuts,Tremors,Chain Reaction,Escape from Alcatraz",1.75 m,"December 30, 1942","San Diego, California, USA"
"Actress,Soundtrack",no awards no nominations,"Rectify,Parade's End,The Great Gatsby,Under the Banner of Heaven",1.75 m,"November 30, 1989","Brisbane, Queensland, Australia"
"Legal,Actor,Producer",no awards no nominations,"The Goonies,The Living Century,Family Ties,Amazing Stories",1.63 m,"June 25, 1974","Los Angeles, California, USA"
"Actor,Writer,Director",no awards no nominations,"Containment,Masters of the Universe: Revelation,Supergirl,The Vampire Diaries",3 m,"April 14, 1988","St. Louis, Missouri, USA"
"Actor,Producer,Transportation Department",no awards no nominations,"Weird Science,The Hills Have Eyes,The Devil's Rejects,One Flew Over the Cuckoo's Nest",1.88 m,"September 4, 1948","Los Angeles, California, USA"
Actor,no awards no nominations,"Sikeurit Gadeun,Sa-rang-eui Bul-sa-chak,Memories of the Alhambra,Haideu, Jikil, Na",(1.84 m,"September 25, 1982","Seoul, Korea"
"Actress,Writer,Producer",no awards no nominations,"Bron/Broen,Arn: Tempelriddaren,The Snowman,Mystery Road",(1.69 m,"April 25, 1972","Hovsta, Örebro län, Sweden"
"Actress,Producer,Additional Crew",no awards no nominations,"House,Breezy,Midnight Caller,Reasonable Doubts",1.55 m,"March 4, 1953","Los Angeles, California, USA"
Actress,no awards no nominations,"Batwoman,Servant,Manifest,You",,,
"Actress,Soundtrack",no awards no nominations,"White Oleander,Elizabethtown,What I Like About You,That '70s Show",1.60 m,"October 7, 1974","Columbia, South Carolina, USA"
"Actress,Producer,Additional Crew",no awards no nominations,"The Strain,Diarios De Motocicleta,The Twilight Saga: Breaking Dawn - Part 2,Savages",1.63 m,June 19,"Buenos Aires, Argentina"
Actress,no awards no nominations,"Excalibur,Frankenstein,The Mission,Hornblower: The Duchess and the Devil",1.65 m,"April 4, 1952","Nottingham, Nottinghamshire, England, UK"
"Actress,Additional Crew",no awards no nominations,"Total Recall,Con Air,Falling Down,Man on Fire",1.70 m,"November 1, 1958","Bronx, New York City, New York, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Captain Fantastic,Ouija: Origin of Evil,Bedtime Stories,Standing Up",1.68 m,"December 2, 1998","St. Louis, Missouri, USA"
"Actress,Producer,Additional Crew",no awards no nominations,"Ugly Betty,Shaft,Eraser,Desperate Housewives",1.68 m,"March 18, 1963","Bronx, New York City, New York, USA"
"Actress,Producer,Director",no awards no nominations,"Alexander and the Terrible, Horrible, No Good, Very Bad Day,Moneyball,Just Like Heaven,Walk the Line",1.70 m,"January 9, 1998","Los Angeles, California, USA"
"Actor,Director,Producer",no awards no nominations,"The Twilight Saga: Breaking Dawn - Part 1,The Vanished,Nurse Jackie,Supergirl",(1.80 m,"November 26, 1973","Queens, New York City, New York, USA"
"Actress,Producer,Make-Up Department",no awards no nominations,"The Kids Are All Right,Girls,Spartan,Cherry",1.63 m,"February 2, 1988","Randolph, Vermont, USA"
"Actor,Producer,Director",no awards no nominations,"Dreamgirls,Grown,Dawn of the Planet of the Apes,The Last Ship", (1.79 m,"February 20, 1981","Houston, Texas, USA"
"Actor,Soundtrack",no awards no nominations,"The Boy Next Door,Everybody Wants Some!!,Step Up Revolution",3 m,"September 21, 1987","Abilene, Texas, USA"
"Actor,Writer,Soundtrack",no awards no nominations,"Best in Show,A Mighty Wind,Anchorman: The Legend of Ron Burgundy,Harold & Kumar Go to White Castle","s, Ohio, US","September 18, 1933","Shaker Heights, Ohio, USA"
"Actress,Soundtrack",no awards no nominations,"Daddy's Home 2,Daddy's Home,The Grinch,Minions 2: The Rise of Gru",1.55 m,"December 4, 2007","Los Angeles, California, USA"
"Actress,Director,Writer",no awards no nominations,"Dark River,Hanna,Jamie,Mister Lonely",1.55 m,"February 5, 2000","England, UK"
"Actor,Producer,Additional Crew",no awards no nominations,"The Day After Tomorrow,Land of the Dead,Pompeii,16 Blocks",1.96 m,"October 21, 1973","Tel Aviv, Israel"
"Actor,Soundtrack",no awards no nominations,"Modern Family,The Muppets,Epic Movie,R.L. Stine's The Haunting Hour",1.73 m,"July 31, 1998","College Station, Texas, USA"
Actor,no awards no nominations,"Funny Woman,The Fear Index,The Ritual,Line of Duty",1.85 m,April 9,"Nottingham, England, UK"
"Actress,Producer,Writer",no awards no nominations,"Street Fighter,Assassination,Death Wish II,Love and Bullets",1.70 m,"April 24, 1936","London, England, UK"
"Actor,Producer",no awards no nominations,"The Young and the Restless,Titanic,Escape from the Planet of the Apes,Colossus: The Forbin Project",1.85 m,"April 3, 1941","Kiel, Schleswig-Holstein, Germany"
"Actor,Director,Soundtrack",no awards no nominations,"Star Trek: Deep Space Nine,Kingdom of Heaven,Reign of Fire,Doomsday", (1.82 m,"November 21, 1965",Sudan
"Actress,Soundtrack",no awards no nominations,"Reba,Slappy and the Stinkers,Star Trek: Voyager,The Baby-Sitters Club",1.60 m,"November 28, 1988","California, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"Frasier,Moonstruck,Barton Fink,Flipped",1.73 m,"June 20, 1940","Blackpool, Lancashire, England, UK"
"Actor,Art Department,Additional Crew",no awards no nominations,"Cowboys & Aliens,Hell or High Water,Gettysburg,Tombstone",3 m,"May 13, 1938","Hollywood, Los Angeles, California, USA"
"Actor,Writer",no awards no nominations,"Calendar Girls,The Beiderbecke Connection,Happy Valley,Hereafter",1.75 m,1947,"Portsmouth, Hampshire, England, UK"
"Actress,Producer",no awards no nominations,"Anonymous,Cold Feet,Cardiac Arrest,Dirk Gently",1.68 m,"June 7, 1970","Pontefract, Yorkshire, England, UK"
"Actress,Producer,Writer",no awards no nominations,"Kaleidoscope,The Persian Version,The Night,Here and Now",1.68 m,"June 7, 1970","Pontefract, Yorkshire, England, UK"
"Actor,Additional Crew,Writer",no awards no nominations,"The Abominable Dr. Phibes,House on Haunted Hill,Laura,The Ten Commandments",1.93 m,"May 27, 1911","St. Louis, Missouri, USA"
"Actress,Soundtrack",no awards no nominations,"The Deuce,The Leftovers,Nerve,Boardwalk Empire",1.68 m,"January 10, 1989","New York City, New York, USA"
"Actor,Production Manager,Soundtrack",no awards no nominations,"Dirty Harry,National Lampoon's Animal House,Killer Klowns from Outer Space,Airplane II: The Sequel",1.88 m,"February 24, 1932","Zehner, Saskatchewan, Canada"
Actress,no awards no nominations,"Angus, Thongs and Perfect Snogging,Black Death,Wild Child,Easy Virtue",1.65 m,"September 24, 1985","Bristol, England, UK"
"Actress,Producer,Art Director",no awards no nominations,"Whale Rider,The Nativity Story,Star Wars: Episode III - Revenge of the Sith,Hey Hey It's Esther Blueburger",1.57 m,"March 24, 1990","Donnybrook, Western Australia, Australia"
"Actor,Producer,Writer",no awards no nominations,"Family Matters,Big Fat Liar,Sonic Underground,Dreamgirls",(1.80 m,"November 27, 1976","Pasadena, California, USA"
"Actor,Director",no awards no nominations,"A Nightmare on Elm Street,Enter the Dragon,Wes Craven's New Nightmare,Black Christmas",1.75 m,"August 5, 1936","Brooklyn, New York City, New York, USA"
Actress,no awards no nominations,"Independence Day,Unfaithful,Now and Again,Something Wild",(1.77 m,"May 26, 1958","Brooklyn, New York City, New York, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"Altered Carbon,The Good Doctor,Rampage,San Andreas",1.75 m,March 22,"Arlington, Virginia, USA"
"Writer,Producer,Actor",no awards no nominations,"Chappelle's Show,A Star Is Born,Half Baked,Undercover Brother",(1.80 m,"August 24, 1973","Washington D.C., USA"
"Music Department,Composer,Actor",no awards no nominations,"Gladiator,Dune,Inception,Dunkirk",(1.78 m,"September 12, 1957","Frankfurt am Main, Hesse, West Germany"
"Actress,Producer,Soundtrack",no awards no nominations,"Police Academy,The Devil's Rejects,Greater,Laverne & Shirley",1.73 m,"July 29, 1949","Los Angeles, California, USA"
"Actress,Writer,Producer",no awards no nominations,"The Devil Wears Prada,Iron Man Three,Once Upon a Time,Lost",1.73 m,"April 24, 1977","Cambridge, Cambridgeshire, England, UK"
"Actress,Soundtrack",no awards no nominations,"American Graffiti,The Man Who Fell to Earth,Blue Thunder,Zodiac",1.70 m,"June 20, 1947","Norman, Oklahoma, USA"
Actor,no awards no nominations,"The Adam Project,Secret Headquarters,Percy Jackson and the Olympians,Entertainment Tonight",1.70 m,"January 5, 2009","Los Angeles, California, USA"
Producer,no awards no nominations,"Eden,The Prophet,CNBC Meets,Los Goya 26 edición",1.70 m,"May 28, 1962","Rennes, France"
"Producer,Writer,Actor",no awards no nominations,"Curb Your Enthusiasm,Whatever Works,Seinfeld,The Three Stooges",3 m,"July 2, 1947","Brooklyn, New York City, New York, USA"
"Actor,Director,Producer",no awards no nominations,"Pretty Little Liars: Original Sin,Fifty Shades Darker,The Knick,Vikings",1.88 m,"August 7, 1979","Edmonton, Alberta, Canada"
"Actor,Soundtrack",no awards no nominations,"True Romance,Beverly Hills Cop,Beverly Hills Cop III,Risky Business",1.75 m,"May 20, 1959","New York City, New York, USA"
"Actress,Producer,Director",no awards no nominations,"Night Comes On,Skin,My Boys,The Goods: Live Hard, Sell Hard",1.70 m,"April 12, 1977","Manhattan, New York, USA"
"Actor,Writer,Producer",no awards no nominations,"Killing Gunther,Saturday Night Live,12 Years a Slave,Brother Nature",(1.84 m,"April 1, 1982","Culver City, California, USA"
"Actor,Writer,Producer",no awards no nominations,"Born in East L.A.,Tin Cup,Up in Smoke,From Dusk Till Dawn",1.68 m,"July 13, 1946","Los Angeles, California, USA"
Actress,no awards no nominations,"Desperate Housewives,Everwood,Quantico,This Close",(1.74 m,"March 25, 1962","Marlborough, Massachusetts, USA"
Actress,no awards no nominations,"Fantastic Beasts: The Crimes of Grindelwald,Harlots,This Is England '90,Youth",(1.74 m,"March 25, 1962","Marlborough, Massachusetts, USA"
"Music Artist,Actor,Composer",no awards no nominations,"Blade,Blade II,Payback,A Star Is Born",(1.78 m,"June 22, 1936","Brownsville, Texas, USA"
"Actress,Producer,Director",no awards no nominations,"Scarecrow and Mrs. King,Charlie's Angels,Making Love,Dark Shadows",(1.77 m,"October 29, 1948","Birmingham, Alabama, USA"
"Actor,Producer,Writer",no awards no nominations,"The Spectacular Now,The Collection,Super,Would You Rather",1.70 m,"July 18, 1968","Bronx, New York, USA"
"Actress,Soundtrack",no awards no nominations,"Pleasantville,Malcolm in the Middle,Chips,Uncommon Valour",(1.69 m,"December 21, 1955","Milwaukee, Wisconsin, USA"
"Actor,Writer,Director",no awards no nominations,"Lincoln,Billions,Breaking Bad",1.75 m,"January 9, 1967","Washington, District of Columbia, USA"
"Actor,Producer",no awards no nominations,"Barbershop,Takers,Think Like a Man,2 Fast 2 Furious",(1.78 m,"August 3, 1973","Silver Spring, Maryland, USA"
"Music Artist,Actress,Music Department",no awards no nominations,"Camp Rock,Sonny with a Chance,Princess Protection Program,Grey's Anatomy",1.60 m,"August 20, 1992","Albuquerque, New Mexico, USA"
"Actress,Soundtrack",no awards no nominations,"Ghosts,Young Sheldon,Tell It Like a Woman,This Is Us",1.65 m,"May 11, 1988","Boston, Massachusetts, USA"
"Actor,Producer,Writer",no awards no nominations,"The Butler,True Blood,The Stanford Prison Experiment,Secretariat",(1.76 m,"November 30, 1977","Harvey, Illinois, USA"
"Actress,Composer,Soundtrack",no awards no nominations,"Knots Landing,Dillinger,Hotel Artemis,Valentino",1.70 m,"June 4, 1944","Long Beach, California, USA"
"Actress,Soundtrack",no awards no nominations,"The Magdalene Sisters,Robin Hood: Prince of Thieves,Henry V,The Love Letter",1.65 m,"May 9, 1932","Old Windsor, Berkshire, England, UK"
"Actress,Director,Producer",no awards no nominations,"Lost in Space,Legends of Tomorrow,#Horror,Maggie's Plan",1.68 m,"October 23, 2001","New York City, New York, USA"
Actress,no awards no nominations,"The Other Woman,The Layover,The Three Stooges,Tower Heist",(1.78 m,"June 10, 1992","St. Joseph, Michigan, USA"
"Actor,Producer",no awards no nominations,"Zoom,Batman v Superman: Dawn of Justice,The O.C.,Army of the Dead",3 m,"March 20, 1983","Portland, Oregon, USA"
Actor,no awards no nominations,"The Wedding Singer,Argo,Girlfriends' Guide to Divorce,Angie Tribeca",(1.80 m,"August 19, 1963","Saginaw, Michigan, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"The Poseidon Adventure,Lolita,A Patch of Blue,The Night of the Hunter",1.63 m,"August 18, 1920","St. Louis, Missouri, USA"
Actress,no awards no nominations,"Sixteen Candles,Home Alone 3,Gremlins 2,Max Payne",1.70 m,"September 14, 1959","New Jersey, USA"
"Actress,Soundtrack",no awards no nominations,"Dynasty,The Big Valley,Hell's Kitchen,The 12th Annual People's Choice Awards",1.73 m,"November 18, 1942","Hartford, Connecticut, USA"
"Actress,Producer,Stunts",no awards no nominations,"The Chronicles of Riddick,Elysium,F/X: The Series,Better Than Chocolate",1.68 m,"July 31, 1971","Toronto, Ontario, Canada"
"Actor,Writer,Producer",no awards no nominations,"Blue Ridge,Prom Night,Houdini,That Thing You Do!",(1.80 m,"September 10, 1969","Edgewood, Maryland, USA"
"Actor,Soundtrack",no awards no nominations,"Christmas Bloody Christmas,Parker Lewis Can't Lose,ER,Open Range",2.01 m,"October 4, 1969","Indianapolis, Indiana, USA"
"Actor,Writer,Stunts",no awards no nominations,Filthy Rich,1.75 m,"October 4, 1969","Indianapolis, Indiana, USA"
"Actor,Director,Producer",no awards no nominations,"White Collar,Sex and the City,Hawaii Five-0",1.73 m,"February 20, 1964","Highland Park, New Jersey, USA"
Actress,no awards no nominations,"The Last Kingdom,Jerks,Die Vaterlosen,Dutschke",1.73 m,"February 23, 1985","Vienna, Austria"
"Actress,Soundtrack",no awards no nominations,"Scary Stories to Tell in the Dark,Annie,The Lego Ninjago Movie,Wildlife",1.73 m,"November 27, 2001",United States
"Actress,Producer,Music Department",no awards no nominations,"Traffic,Carrie,Adam,Crossing Delancey",1.63 m,"September 10, 1953","Palo Alto, California, USA"
"Producer,Actor,Writer",no awards no nominations,"Top Five,The Longest Yard,Head of State,Madagascar",(1.78 m,"February 7, 1965","Andrews, South Carolina, USA"
"Actress,Costume and Wardrobe Department,Music Department",no awards no nominations,"Lars and the Real Girl,The Secret Life of Marilyn Monroe,Pan Am,The Aviator",1.68 m,"April 11, 1984","Bakersfield, California, USA"
"Actress,Additional Crew,Soundtrack",no awards no nominations,"Schitt's Creek,SurrealEstate,Larry Crowne",1.60 m,"September 10, 1986","Toronto, Ontario, Canada"
"Actor,Music Department,Producer",no awards no nominations,"Mythic Quest: Raven's Banquet,Disenchantment,Historical Roasts,Futurama",(1.92 m,"September 4, 1968","North Plainfield, New Jersey, USA"
"Actress,Writer,Producer",no awards no nominations,"No Strings Attached,Teenage Mutant Ninja Turtles,Saturday Night Live,Fun Size",1.70 m,"June 16, 1987","New York City, New York, USA"
"Actress,Producer,Music Department",no awards no nominations,"Days of Our Lives,The Artist,Mingle All the Way,The Spirit of Christmas",1.60 m,"August 4, 1984","Roanoke, Virginia, USA"
Actress,no awards no nominations,"Old,Wake Up,M.F.A.,Outlaws and Angels",(1.66 m,"August 7, 1993","Redding, California, USA"
"Actor,Producer,Director",no awards no nominations,"True Romance,The Departed,Pineapple Express,Unstoppable",(1.77 m,"March 27, 1969","The Bronx, New York City, New York, USA"
"Actress,Writer,Soundtrack",no awards no nominations,"North and South,The Bold and the Beautiful,The Pink Panther Strikes Again,The First Great Train Robbery",1.65 m,"March 17, 1954","Wandsworth, London, England, UK"
Actress,no awards no nominations,"Big Eyes,To All the Boys I've Loved Before,The Family,To All the Boys: Always and Forever",1.63 m,"March 10, 1997","Vancouver, British Columbia, Canada"
"Actress,Producer,Writer",no awards no nominations,"Broad City,A League of Their Own,Connected,Disenchantment",(1.66 m,"February 1, 1984","Wayne, Pennsylvania, USA"
"Actress,Soundtrack",no awards no nominations,"Star Trek: Discovery,Marriage Story,Baskets,Room 104",,,
"Actor,Writer,Soundtrack",no awards no nominations,"Rocky,Chinatown,Win Win",1.73 m,"April 30, 1940","New York City, New York, USA"
"Actress,Additional Crew",no awards no nominations,"The Newsroom,The Office,Me, Myself and I,Big Little Lies",(1.77 m,April 19,"Nashville, Tennessee, USA"
"Actor,Director,Producer",no awards no nominations,"Ender's Game,The Kings of Summer,Nacho Libre,The King of Staten Island",(1.50 m,"April 18, 1994","New York City, New York, USA"
Actress,no awards no nominations,"The Guardians of the Galaxy: Holiday Special,Criminal Minds,Westworld,Lucifer",1.60 m,"April 18, 1994","New York City, New York, USA"
Actress,no awards no nominations,"Roadies,Timeless,Salvation,Bad Samaritan",1.60 m,"September 14, 1989","Toronto, Ontario, Canada"
"Actress,Producer,Writer",no awards no nominations,"That '70s Show,Without a Paddle,I Believe in Santa,90210",1.70 m,April 12,"Palatine, Illinois, USA"
Actress,no awards no nominations,"The Walking Dead,Linoleum,Southern Gospel,Light as a Feather",1.60 m,"June 11, 1999","Atlanta, Georgia, USA"
"Actor,Soundtrack",no awards no nominations,"The Sopranos,The Godfather: Part II,All the President's Men,...and justice for all.", (1.82 m,"February 24, 1931","Bronx, New York City, New York, USA"
"Actress,Director,Writer",no awards no nominations,"Babel,Pacific Rim,The Brothers Bloom,Kumiko, the Treasure Hunter",(1.69 m,"January 6, 1981","Hadano, Japan"
Actress,no awards no nominations,"Les invasions barbares,Munich,Maelström,Le Scaphandre Et Le Papillon",(1.68 m,"February 23, 1970","Montréal, Québec, Canada"
"Actress,Producer,Writer",no awards no nominations,"Legally Blonde,White Chicks,The World's Fastest Indian,The Drew Carey Show",1.63 m,"March 30, 1976","Detroit, Michigan, USA"
Actor,no awards no nominations,"The Sopranos,Daredevil,Tadpole,Law & Order: Special Victims Unit",(1.66 m,"March 2, 1985","New York City, New York, USA"
Actress,no awards no nominations,"The Hidden,Black Sheep Squadron,JAG,Battlestar Galactica",1.68 m,"September 6, 1953","Hartford, Connecticut, USA"
"Actor,Producer",no awards no nominations,"10 Things I Hate About You,Independence Day,The Broken Hearts Club: A Romantic Comedy,Kill Speed",,,
Actress,no awards no nominations,"Fever Pitch,Primeval,Bridgerton,F",1.68 m,October 1967,"Bristol, England, UK"
"Actor,Sound Department,Director",no awards no nominations,"Lady Macbeth,Calm with Horses,Hunter Killer,The Alley Way",(1.78 m,September 1989,"Ridgewood, New Jersey, USA"
"Actress,Composer,Producer",no awards no nominations,"Three's Company,Serial Mom,She's the Sheriff,Step by Step",(1.66 m,"October 16, 1946","San Bruno, California, USA"
"Actress,Casting Department,Producer",no awards no nominations,"Eddie the Eagle,This Is England,David Brent: Life on the Road,Dead Man's Shoes",1.63 m,"March 12, 1972","Oldham, Lancashire, England, UK"
Actress,no awards no nominations,"Charlie Wilson's War,42,Good God,Home of Phobia",1.68 m,"March 24, 1979","Vancouver, British Columbia, Canada"
"Actor,Director,Writer",no awards no nominations,"The Queen's Gambit,Miss Marx,War Horse,Boardwalk Empire",(1.78 m,"August 26, 1977","London, England, UK"
"Actress,Producer,Soundtrack",no awards no nominations,"This Is Us,Abbott Elementary,Licorice Pizza,Beast",(1.78 m,"August 26, 1977","London, England, UK"
