prof,awards,famous,height,dob,birthplace
Actor,no awards no nominations,"Castle,Cold Case,Dog with a Blog,I'm in the Band",1.91 m,"November 13, 1969","Chicago, Illinois, USA"
"Actor,Producer,Director",no awards no nominations,"The Devil Wears Prada,Entourage,Entourage,Drive Me Crazy", (1.79 m,"July 10, 1976","Santa Fe, New Mexico, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"Mulholland Dr.,Supernatural,The Big Lebowski,Capote",1.88 m,"April 9, 1965","Los Angeles, California, USA"
"Actor,Producer,Writer",no awards no nominations,"All My Children,1-800-Missing,My Super Ex-Girlfriend,Cop Out",1.75 m,"March 30, 1971","Zaragoza, Aragón, Spain"
"Actor,Soundtrack",no awards no nominations,"Howard the Duck,United 93,The Siege,Snake Eyes",1.75 m,"March 20, 1947","Milwaukee, Wisconsin, USA"
"Actor,Director,Editor",no awards no nominations,"The Founder,Fargo,Paul,The Trial of the Chicago 7",1.91 m,"August 1, 1963","Boulder, Colorado, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Melrose Place,The Perfect Man,The Return of Swamp Thing,Money Talks",1.65 m,"September 25, 1961","Westwood, California, USA"
"Actress,Director,Producer",no awards no nominations,"Anne of Green Gables,Anne of Green Gables: The Sequel,Silver Bullet,Anne of Green Gables: The Continuing Story",1.63 m,"March 14, 1968","Toronto, Ontario, Canada"
"Actress,Writer,Producer",no awards no nominations,"The Invisible Man,No Activity,Summer Love,Love Child",1.60 m,"October 17, 1988","Townsville, Queensland, Australia"
"Actress,Soundtrack",no awards no nominations,"Neighbors,Superbad,Forgetting Sarah Marshall,Get Him to the Greek",1.63 m,"June 24, 1975","Brooklyn, New York, USA"
"Actor,Producer,Writer",no awards no nominations,"Supernatural,Girl, Interrupted,TSA America: Suspicious Bulges,Divine: The Series",(1.80 m,"August 20, 1974","Boston, Massachusetts, USA"
"Actor,Writer,Producer",no awards no nominations,"NYPD Blue,City of Angels,Die Hard 2,Dressed to Kill",(1.78 m,"October 28, 1944","Maywood, Illinois, USA"
"Actor,Director,Writer",no awards no nominations,"Jack Reacher,True Blood,Terriers,The Finest Hours",1.75 m,"December 24, 1977","Michigan, USA"
"Actor,Writer,Director",no awards no nominations,"Pirates of the Caribbean: The Curse of the Black Pearl,Detectorists,Sea Robbers: Corpse Treasure,Pirates of the Caribbean: At World's End",(1.78 m,"September 29, 1971","Maidstone, Kent, England, UK"
"Actress,Soundtrack",no awards no nominations,"In America,The Spiderwick Chronicles,The Lazarus Effect,Kokuriko-zaka kara",1.63 m,"February 28, 1991","Dublin, Ireland"
Actress,no awards no nominations,"United 93,Banshee,Blindspot,The Push",1.68 m,"January 14, 1981","Provo, Utah, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"The Pirate Movie,Little Darlings,Two Moon Junction,Only When I Laugh",1.63 m,"September 11, 1962","Los Angeles, California, USA"
"Actor,Writer,Director",no awards no nominations,"Lucky Number Slevin,Take Me Home,Inherent Vice,American Sniper", (1.82 m,"January 29, 1977","Perrysburg, Ohio, USA"
"Actor,Producer,Director",no awards no nominations,"The Apartment,Glengarry Glen Ross,Some Like It Hot,Grumpy Old Men",1.75 m,"February 8, 1925","Newton, Massachusetts, USA"
"Producer,Writer,Actress",no awards no nominations,"This Means War,Hop,Chelsea Lately,Cattle Call",1.68 m,"February 25, 1975","Livingston, New Jersey, USA"
"Actor,Writer,Producer",no awards no nominations,"Van Helsing,Moulin Rouge!,Sanctum,Rake",(1.80 m,"January 23, 1962","Albury, New South Wales, Australia"
"Actor,Director,Soundtrack",no awards no nominations,"Titanic,Crimson Tide,Alive,Eraser",(1.78 m,"September 15, 1968","Klagenfurt, Carinthia, Austria"
Actor,no awards no nominations,"No Strings Attached,Don't Trust the B---- In Apartment 23,Designated Survivor,Doubt",1.88 m,"February 6, 1980","Brisbane, Queensland, Australia"
"Actress,Director,Producer",no awards no nominations,"Red Corner,Crank: High Voltage,The Crow,Southland Tales",1.68 m,October 10,"Chengdu, China"
"Actress,Director,Producer",no awards no nominations,"Leverage Redemption,68 Whiskey,Stranger Things,Alvin and the Chipmunks",1.70 m,"August 24, 1978","Belle Plaine, Scott County, Minnesota, USA"
Actress,no awards no nominations,"Dharma & Greg,My Best Friend's Wedding,Falcon Crest,Castle",(1.71 m,"November 18, 1942","New York City, New York, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"NYPD Blue,Shameless,The Ranch,Queen Sugar",1.65 m,"June 29, 1961","Charlotte, North Carolina, USA"
"Actor,Writer,Producer",no awards no nominations,"Parks and Recreation,Sonic the Hedgehog,The Afterparty,Middleditch & Schwartz",3 m,"September 15, 1981","Bronx, New York, USA"
"Actress,Director",no awards no nominations,"Tiny Furniture,Untogether,The Little Hours,Ava's Possessions",1.57 m,"April 26, 1985","Westminster, London, England, UK"
Actress,no awards no nominations,"Twilight,Ouija: Origin of Evil,The Twilight Saga: New Moon,The Family Stone",1.63 m,"July 2, 1975","Bloomfield, Michigan, USA"
"Actress,Soundtrack",no awards no nominations,"Bones,October Faction,Party of Five,Serenity",(1.69 m,September 27,"Toronto, Ontario, Canada"
"Actress,Producer,Writer",no awards no nominations,"Killing Eve,Sideways,Grey's Anatomy,Under the Tuscan Sun",(1.64 m,"July 20, 1971","Nepean, Ontario, Canada"
"Actress,Talent Agent,Producer",no awards no nominations,"Buck Rogers in the 25th Century,Jason Goes to Hell: The Final Friday,Dreams Awake,Magnum, P.I.",(1.71 m,"January 7, 1950","Honolulu, Hawaii, USA"
"Writer,Actress,Director",no awards no nominations,"Me and You and Everyone We Know,The Future,Kajillionaire,Nest of Tens",(1.71 m,"February 15, 1974","Barre, Vermont, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Superman,Black Christmas,Superman II,The Amityville Horror",1.75 m,"October 17, 1948","Yellowknife, Northwest Territories, Canada"
"Actor,Composer,Soundtrack",no awards no nominations,"Mandy,The Chronicles of Riddick,Non-Stop,Batman Begins",(1.78 m,"February 1, 1964","Manchester, Greater Manchester, England, UK"
"Actress,Writer,Producer",no awards no nominations,"The Bear,What We Do in the Shadows,Dickinson,Thunderbolts",(1.78 m,"October 3, 1995","Boston, Massachusetts, USA"
"Actress,Soundtrack",no awards no nominations,"Stargate SG-1,Arrow,Caprica,Masterminds",1.57 m,"November 9, 1962","Vancouver, British Columbia, Canada"
"Actress,Producer,Soundtrack",no awards no nominations,"Dial M for Murder,Rear Window,To Catch a Thief,The Country Girl",(1.69 m,"November 12, 1929","Philadelphia, Pennsylvania, USA"
"Actress,Soundtrack",no awards no nominations,"Phantom Thread,Old,Colonia,Hanna",1.75 m,"October 4, 1983","Luxembourg, Grand-Duchy of Luxembourg"
"Actor,Producer,Writer",no awards no nominations,"Entourage,Serendipity,Grosse Pointe Blank,Spy Kids 4: All the Time in the World",1.75 m,"July 26, 1965","Manhattan, New York City, New York, USA"
"Actor,Producer,Writer",no awards no nominations,"Little House on the Prairie,Bonanza,Highway to Heaven,Little House: The Last Farewell",1.75 m,"October 31, 1936","Forest Hills, Queens, New York City, New York, USA"
Actress,no awards no nominations,"Barbarians,The Magic Flute,Para - We Are King,The 15:17 to Paris",1.75 m,"April 4, 1996","Pinneberg, Schleswig-Holstein, Germany"
"Actor,Director,Additional Crew",no awards no nominations,"Il mio nome è Nessuno,Il gattopardo,Lo chiamavano Trinità...,...altrimenti ci arrabbiamo!", (1.82 m,"March 29, 1939","Venice, Veneto, Italy"
"Actor,Writer",no awards no nominations,"Withnail & I,Harry Potter and the Chamber of Secrets,The History Boys,Harry Potter and the Philosopher's Stone",(1.78 m,"July 31, 1947","Thornaby-on-Tees, North Yorkshire, England, UK"
"Actor,Director,Writer",no awards no nominations,"Jurassic Park,The Social Network,The River Wild,Bohemian Rhapsody",1.75 m,"September 21, 1983","Rhinebeck, New York, USA"
Actress,no awards no nominations,"Get Out,Upgrade,The Purge: Election Year,Unfriended: Dark Web",1.63 m,"January 6, 1981","Washington, District of Columbia, USA"
"Actor,Producer,Writer",no awards no nominations,"Le Samouraï,Il gattopardo,Zorro,L'eclisse",(1.77 m,"November 8, 1935","Sceaux, Seine [now Hauts-de-Seine], Île-de-France, France"
"Actor,Additional Crew,Director",no awards no nominations,"M*A*S*H,The Four Seasons,Marriage Story,Crimes and Misdemeanors",1.88 m,"January 28, 1936","Manhattan, New York City, New York, USA"
"Actor,Director,Writer",no awards no nominations,"Gotham,The O.C.,88 Minutes,Southland",1.73 m,"September 12, 1978","Austin, Texas, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"Star Trek,Thirteen Days,I, Robot,Star Trek Into Darkness", (1.82 m,"August 12, 1956","Noranda, Québec, Canada"
"Actress,Producer,Soundtrack",no awards no nominations,"Broad City,Frasier,Kevin Can F**k Himself,Scorpion",1.70 m,"May 27, 1961","Waco, Texas, USA"
Actor,no awards no nominations,"Sixteen Candles,Mermaids,Wild Hearts Can't Be Broken,Crazy for You",3 m,"December 10, 1960","Wilkes-Barre, Pennsylvania, USA"
"Actor,Director,Soundtrack",no awards no nominations,"Jurassic Park,Mr. Robot,Jurassic World,Mulan",(1.64 m,"October 24, 1960","San Francisco, California, USA"
Actress,no awards no nominations,"Black Panther,Captain America: Civil War,The Lion King,Wonder Woman",1.73 m,"October 26, 1976","Kampala, Uganda"
"Actor,Producer,Soundtrack",no awards no nominations,"The Covenant,What to Expect When You're Expecting,Gossip Girl,The Haunting of Molly Hartley",(1.78 m,"July 18, 1985","Lubbock, Texas, USA"
"Actress,Producer",no awards no nominations,"Dumb and Dumber,Fantastic Mr. Fox,Blank Check,Celebrity",(1.68 m,"May 23, 1962","New York City, New York, USA"
"Actor,Writer,Producer",no awards no nominations,"Keanu,Let's Be Cops,Tomorrowland,The Predator",(1.84 m,"March 22, 1971","Southfield, Michigan, USA"
"Actor,Director,Writer",no awards no nominations,"Critical Role,Mister Mom,Herushingu,Street Fighter IV",(1.84 m,"January 19, 1977","Los Angeles, California, USA"
"Actor,Soundtrack",no awards no nominations,"Police Academy,Short Circuit,Mannequin,Police Academy 5: Assignment: Miami Beach",1.70 m,"August 27, 1944","Port Arthur, Texas, USA"
"Director,Producer,Writer",no awards no nominations,"JFK,Platoon,Natural Born Killers,Born on the Fourth of July",3 m,"September 15, 1946","New York City, New York, USA"
"Actress,Soundtrack",no awards no nominations,"Paper Moon,Young Frankenstein,Clue,Blazing Saddles",1.60 m,"September 29, 1942","Chelsea, Massachusetts, USA"
Actress,no awards no nominations,"The Summer I Turned Pretty,Fargo,Peep Show,Flight of the Conchords",1.73 m,"March 19, 1976","Toronto, Ontario, Canada"
Actress,no awards no nominations,"CSI: Crime Scene Investigation,Erin Brockovich,Species,In Good Company",1.68 m,"November 16, 1958","Fremont, Nebraska, USA"
"Actress,Soundtrack",no awards no nominations,"Power Rangers,Percy Jackson & the Olympians: The Lightning Thief,Blade: Trinity,Battlestar Galactica",(1.67 m,"October 31, 1979","Vancouver, British Columbia, Canada"
"Actress,Producer",no awards no nominations,"Trick 'r Treat,Mutant X,Pathology,If I Stay",(1.78 m,"June 19, 1980","Vancouver, British Columbia, Canada"
"Actress,Writer,Producer",no awards no nominations,"Pride and Prejudice and Zombies,Doll & Em,Bridget Jones's Diary,45 Years",(1.78 m,"December 5, 1971","Merton, London, England, UK"
"Actress,Writer,Producer",no awards no nominations,"Absolutely Fabulous,Absolutely Fabulous: The Movie,Shrek 2,Minions",1.63 m,"July 6, 1958","Sleaford, Lincolnshire, England, UK"
Actor,no awards no nominations,"Rescue Special Ops,A Perfect Pairing,Falling Inn Love,Cooped Up",1.63 m,"May 24, 1985","Wollongong, New South Wales, Australia"
"Actor,Producer,Writer",no awards no nominations,"The Royle Family,24 Hour Party People,Two Pints of Lager and a Packet of Crisps,Our Zoo",3 m,"February 8, 1980","Bury, Greater Manchester, England, UK"
"Actor,Producer,Director",no awards no nominations,"The Way Way Back,The Descendants,Bad Teacher,Club Dread",3 m,"October 11, 1975","Boston, Massachusetts, USA"
"Actress,Writer,Soundtrack",no awards no nominations,"Two Weeks Notice,Miss Congeniality,You've Got Mail,What's Your Number?",(1.74 m,"April 7, 1975","Chicago, Illinois, USA"
"Actor,Writer,Producer",no awards no nominations,"Ted Lasso,Bless This Mess,Horrible Bosses 2,Key and Peele",3 m,June 28,"Chicago, Illinois, USA"
Actress,no awards no nominations,"Red Notice,The Umbrella Academy,Feel Good,Last Christmas",1.65 m,June 28,"Chicago, Illinois, USA"
"Actress,Producer,Director",no awards no nominations,"We Are Still Here,Ed Wood,Mars Attacks!,Sleepy Hollow",1.65 m,"December 5, 1968","Piscataway, New Jersey, USA"
"Writer,Director,Producer",no awards no nominations,"Talk to Her,Átame!,La Piel Que Habito,Mujeres al borde de un ataque de ""nervios""",(1.77 m,"September 25, 1949","Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain"
"Actor,Director,Editor",no awards no nominations,"Inglourious Basterds,In the House,Hannibal Rising,The Beasts",(1.84 m,"September 18, 1976","Enghien-les-Bains, Val-d'Oise, France"
"Music Department,Writer,Producer",no awards no nominations,"South Park,South Park: Bigger, Longer & Uncut,Orgazmo,Team America: World Police",3 m,"October 19, 1969","Conifer, Colorado, USA"
"Actor,Soundtrack",no awards no nominations,"Gangster Squad,Leatherheads,Young Sheldon,For Your Consideration",1.88 m,"June 29, 1973","Battle Creek, Michigan, United States"
Actress,no awards no nominations,"The Green Inferno,The Butterfly Effect,Caprica,Continuum",1.60 m,"November 8, 1985","Vancouver, British Columbia, Canada"
"Actor,Producer,Soundtrack",no awards no nominations,"Tyuhvhj,Ocean's Eleven,The Long Goodbye,Ocean's Thirteen",1.91 m,"August 29, 1938","Brooklyn, New York City, New York, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"The Walking Dead,The Loudest Voice,Angie Tribeca,Mad Men",3 m,June 4,"Phoenix, Arizona, USA"
"Actor,Producer,Additional Crew",no awards no nominations,"The French Dispatch,Broken Flowers,The Batman,Shaft",(1.77 m,"December 7, 1965","Washington, District of Columbia, USA"
"Actor,Producer",no awards no nominations,"Me and Earl and the Dying Girl,Project X,Hansel & Gretel: Witch Hunters,Kong: Skull Island",3 m,"September 27, 1991","Portland, Oregon, USA"
"Producer,Additional Crew,Production Manager",no awards no nominations,"Black Panther,Avengers: Endgame,Guardians of the Galaxy,Spider-Man: No Way Home", (1.82 m,"June 2, 1973","Boston, Massachusetts, USA"
"Actor,Producer,Director",no awards no nominations,"Hawaii Five-0,Whiteout,August Rush,The Back-up Plan",(1.85 m,"August 24, 1976","Canberra, Australian Capital Territory, Australia"
"Actress,Producer",no awards no nominations,"Rick and Morty,Law & Order: Special Victims Unit,As the World Turns,Random Tropical Paradise",1.63 m,"October 9, 1983","Los Angeles, California, USA"
Actress,no awards no nominations,"Sacred Games,Sultan,Gully Boy,Foundation",1.68 m,"July 27, 1983","Bengaluru, Karnataka, India"
"Actor,Producer",no awards no nominations,"John Wick,P.S. I Love You,30 Rock,Law & Order: Special Victims Unit",3 m,"July 20, 1964","New York City, New York, USA"
"Actress,Music Department,Second Unit Director or Assistant Director",no awards no nominations,"Green Wing,Doctor Who,Doom Patrol,The Flight Attendant",(1.61 m,"November 23, 1966","Glasgow, Scotland, UK"
"Actor,Producer",no awards no nominations,"Something Borrowed,Rizzoli & Isles,The Client List,All My Children",,,
"Actor,Music Department,Soundtrack",no awards no nominations,"Cemetery Junction,Realive,Infinite,Victoria",1.85 m,"April 18, 1986","Upton, Cheshire, England, UK"
"Actress,Location Management",no awards no nominations,"Lazer Team,The Eleven Little Roosters,Overwatch League,Vampire: The Masquerade: L.A. By Night",1.85 m,"July 8, 1994","Los Angeles, California, USA"
"Actor,Director,Producer",no awards no nominations,"One Tree Hill,Everyone Is Doing Great,Oculus,S. Darko",1.88 m,"July 25, 1985","Hemet, California, USA"
"Actor,Writer,Director",no awards no nominations,"Clash of the Titans,Rocky,Rocky II,Rocky III",(1.66 m,"November 16, 1907","Cleveland, Ohio, USA"
"Music Artist,Actress,Producer",no awards no nominations,"Reba,Tremors,The Little Rascals,One Night at McCool's",1.70 m,"March 28, 1955","McAlester, Oklahoma, USA"
"Actor,Producer,Director",no awards no nominations,"Big Night,Roger Dodger,Singles,The Amazing Spider-Man 2", (1.82 m,"July 19, 1961","New York City, New York, USA"
Actor,no awards no nominations,"The Black Phone,Evel,For All Mankind,Red Carpet Report", (1.82 m,"July 10, 2007",USA
"Actor,Writer",no awards no nominations,"Designated Survivor,When They See Us,John Wick: Chapter 2,The Split",(1.77 m,1975,Nigeria
"Actress,Soundtrack",no awards no nominations,"The Birds,The Bob Newhart Show,Spirited Away,Sumer in Rome",1.63 m,"January 31, 1937","New York City, New York, USA"
"Producer,Director,Writer",no awards no nominations,"American Hustle,Silver Linings Playbook,Three Kings,The Fighter",(1.80 m,"August 20, 1958","Manhattan, New York City, New York, USA"
"Actress,Producer,Writer",no awards no nominations,"This Is Us,Breakthrough,Sierra Burgess Is a Loser,American Horror Story",1.63 m,"September 29, 1980","Florida, USA"
"Actress,Producer,Writer",no awards no nominations,"This Is England,Hummingbird,This Is England '86,Line of Duty",1.63 m,"May 8, 1983","Nottingham, Nottinghamshire, England, UK"
Actor,no awards no nominations,"The Tudors,True Blood,Tron,Showtrial", (1.82 m,"March 14, 1968","Leeds, West Yorkshire, England, UK"
"Actor,Writer,Producer",no awards no nominations,"The Man in the High Castle,Agents of S.H.I.E.L.D.,The Siege of Jadotville,The Good Wife", (1.82 m,"August 6, 1972","Dublin, Ireland"
"Actress,Camera and Electrical Department,Soundtrack",no awards no nominations,"Candid About Love,Dirk Gently's Holistic Detective Agency,Manhattan,Jack Reacher",1.75 m,"September 12, 1992","Vancouver, British Columbia, Canada"
"Actor,Producer,Director",no awards no nominations,"The Karate Kid Part III,The Karate Kid,Outsiders,My Cousin Vinny",(1.75 m,"November 4, 1961","Huntington, Long Island, New York, USA"
Actress,no awards no nominations,"Can't Buy Me Love,A Year in the Life,Explorers,Annie",1.63 m,"July 8, 1971","Greeley, Colorado, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"One Day at a Time,C.H.O.M.P.S.,Pancho Barnes,Valerie's Home Cooking",(1.61 m,"April 23, 1960","Wilmington, Delaware, USA"
Actor,no awards no nominations,"Workin' Moms,The Scorpion King: The Lost Throne,Surrogates,Bringing Down the House",1.96 m,"February 7, 1973","Calgary, Alberta, Canada"
"Actor,Writer,Producer",no awards no nominations,"The Three Stooges,Happy Gilmore,Drop Dead Gorgeous,Southland Tales",(1.92 m,"May 24, 1975","Ladner, British Columbia, Canada"
"Actor,Writer,Producer",no awards no nominations,"Force Majeure,Game of Thrones,After Earth,The Thing",3 m,"December 7, 1978","Oslo, Norway"
"Actress,Producer,Writer",no awards no nominations,"Six Feet Under,Muriel's Wedding,The Rookie,Hacksaw Ridge",(1.77 m,"December 18, 1968","Melbourne, Victoria, Australia"
"Producer,Writer,Director",no awards no nominations,"Days of Heaven,Badlands,The Tree of Life,The Thin Red Line",1.70 m,"November 30, 1943","Ottawa, Illinois, USA"
Actress,no awards no nominations,"To Rome with Love,The Unbearable Weight of Massive Talent,Master of None,Titanic: Blood and Steel",(1.59 m,"February 18, 1986","Naples, Campania, Italy"
"Actress,Soundtrack",no awards no nominations,"Billy Elliot,Mamma Mia!,Brooklyn,Harry Potter and the Deathly Hallows: Part 2",1.60 m,"February 22, 1950","Edgbaston, Birmingham, West Midlands, England, UK"
Actor,no awards no nominations,"The Iron Lady,Spy Game,Dunkirk,An American Haunting",1.60 m,"July 8, 1954","London, England, UK"
"Music Artist,Actor,Composer",no awards no nominations,"Black Panther,Fifty Shades of Grey,Uncut Gems,Southpaw",(1.72 m,"February 16, 1990","Toronto, Ontario, Canada"
"Actor,Producer,Director",no awards no nominations,"Forrest Gump,Of Mice and Men,Apollo 13,Ransom",1.73 m,"March 17, 1955","Blue Island, Illinois, USA"
"Actor,Writer,Director",no awards no nominations,"I Spy,The Greatest American Hero,Hickey & Boggs,Half-Life 2",1.85 m,"August 16, 1930","Oakland, California, USA"
"Actress,Art Department,Additional Crew",no awards no nominations,"GoldenEye,Tomorrow Never Dies,Die Another Day,The World Is Not Enough",(1.69 m,"November 27, 1961","Kensington, London, England, UK"
Actor,no awards no nominations,"Happy Valley,Industry,Gentleman Jack,The Missing", (1.82 m,"January 11, 1967","Glasgow, Scotland, UK"
"Actor,Producer",no awards no nominations,"It,Shazam!,Luca,It Chapter Two",(1.77 m,"September 3, 2003","Los Angeles, California, USA"
"Actress,Soundtrack",no awards no nominations,"His House,Lovecraft Country,Fantastic Beasts and Where to Find Them,Batman v Superman: Dawn of Justice",(1.74 m,"July 31, 1986","Zaria, Nigeria"
"Producer,Director,Actor",no awards no nominations,"Free Guy,Arrival,The Adam Project,The Spectacular Now",(1.80 m,"July 23, 1968","Montreal, Quebec, Canada"
"Actress,Music Department,Soundtrack",no awards no nominations,"Snowpiercer,Girl Meets World,The Goldbergs,A Wrinkle in Time",(1.64 m,"October 14, 2001","Los Angeles, California, USA"
"Actor,Producer,Writer",no awards no nominations,"Rick and Morty,Solar Opposites,The Most Extraordinary Space Investigations,2 Girls, 1 Cup: The Show",(1.78 m,"February 21, 1980","Stockton, California, USA"
"Actor,Producer,Writer",no awards no nominations,"Grandma's Boy,50 First Dates,The Wedding Singer,Jack and Jill",1.75 m,"October 13, 1964","West Palm Beach, Florida, USA"
"Actress,Producer,Writer",no awards no nominations,"Terminator 2: Judgment Day,Las Vegas,Baywatch,Nutty Professor II: The Klumps",1.70 m,"June 2, 1978","Santa Monica, California, USA"
"Actress,Producer",no awards no nominations,"The Harder They Fall,Station Eleven,Till,Reckoning",1.70 m,"May 3, 1982","Atlanta, Georgia, USA"
"Actress,Producer,Director",no awards no nominations,"Gods of Egypt,The Hitman's Bodyguard,Daredevil,G.I. Joe: Retaliation",1.70 m,"February 22, 1981","Paris, France"
"Actor,Stunts,Additional Crew",no awards no nominations,"Star Wars: Episode I - The Phantom Menace,X-Men,G.I. Joe: The Rise of Cobra,Ballistic: Ecks vs. Sever",1.75 m,"August 23, 1974","Glasgow, Scotland, UK"
"Actor,Writer,Additional Crew",no awards no nominations,"Da 5 Bloods,Cedar Rapids,BlacKkKlansman,Pete's Dragon",3 m,"September 13, 1954","South Bend, Indiana, USA"
"Actress,Soundtrack",no awards no nominations,"Star Trek: Deep Space Nine,Friday the 13th,Ted 2,The Resident",(1.72 m,"July 26, 1957","New York City, New York, USA"
"Actor,Producer",no awards no nominations,"Billy the Kid,The Gilded Age,Benediction,Robin Hood",3 m,"February 2, 1995","Birmingham, England, UK"
"Actress,Soundtrack",no awards no nominations,"The Murders at White House Farm,Dead Pixels,Mamma Mia! Here We Go Again,Detectorists",1.60 m,"August 18, 1995","Rhuddlan, County Denbighshire, Wales, UK"
"Actress,Producer,Soundtrack",no awards no nominations,"The Rite,Divertimento,Evidence,I'll Always Know What You Did Last Summer",1.70 m,"June 8, 1984","Long Island, New York, USA"
"Actress,Writer,Producer",no awards no nominations,"The Curse,Karen Pirie,The Bastard Son & the Devil Himself,Save Me",(1.78 m,"October 10, 1989","Haringey, London, England, UK"
"Actor,Writer,Music Department",no awards no nominations,"Drive,Broadcast News,Defending Your Life,Lost in America",(1.80 m,"July 22, 1947","Beverly Hills, California, USA"
"Actor,Writer,Producer",no awards no nominations,"Veep,Detroiters,Mike and Dave Need Wedding Dates,We're the Millers", (1.81 m,"January 12, 1984","Detroit, Michigan, USA"
"Actor,Producer,Director",no awards no nominations,"13 Hours,Captain Phillips,Pacific Rim,The Unit",(1.85 m,December 11,"Kingston, New York, USA"
Actress,no awards no nominations,"Zero Dark Thirty,Revolution,Person of Interest,Free State of Jones",1.68 m,"March 8, 1983","San Antonio, Texas, USA"
Actor,no awards no nominations,"Mad Men,In Time,Masterminds,Alpha Dog",(1.80 m,"May 5, 1979","Minneapolis, Minnesota, USA"
Actress,no awards no nominations,"Spring,Allegiant,The Walking Dead,The 100",1.73 m,1988,"Munich, Bavaria, Germany"
"Actor,Producer,Soundtrack",no awards no nominations,"Black Panther,Waves,Hotel Artemis,This Is Us",3 m,"April 5, 1976","St. Louis, Missouri, USA"
"Actor,Producer,Writer",no awards no nominations,"Dazed and Confused,To Wong Foo Thanks for Everything, Julie Newmar,The Man in the Moon,Out Cold",(1.80 m,"November 7, 1972","San Diego, California, USA"
"Actress,Soundtrack",no awards no nominations,"Die Hard,Die Hard 2,Presumed Innocent,Heart Like a Wheel",1.63 m,"March 25, 1948","New York City, New York, USA"
"Actress,Producer,Casting Director",no awards no nominations,"La Piel Que Habito,Habitación en Roma,Wonder Woman,Van Helsing",1.65 m,"July 17, 1975","Palencia, Palencia, Castilla y León, Spain"
"Actress,Producer,Director",no awards no nominations,"Full House,Fuller House,Some Kind of Wonderful,No One Would Tell",1.57 m,"April 6, 1976","Panorama City, California, USA"
"Actress,Producer,Additional Crew",no awards no nominations,"The Game,The Way,Thirteen,One Point O",1.70 m,"May 12, 1966","Vancouver, British Columbia, Canada"
"Actress,Producer,Writer",no awards no nominations,"La La Land,Don't Worry, He Won't Get Far on Foot,First Man,The Last Tycoon",1.70 m,"May 12, 1966","Vancouver, British Columbia, Canada"
Actor,no awards no nominations,"On a Clear Day You Can See Forever,One Million Years B.C.,Anno zero - Guerra nello spazio,La maschera del demonio",1.86 m,"January 19, 1934","Worthing, Sussex, England, UK"
"Actor,Producer,Soundtrack",no awards no nominations,"Marty,New York 1997,The Poseidon Adventure,Airwolf",(1.78 m,"January 24, 1917","Hamden, Connecticut, USA"
"Actor,Director,Writer",no awards no nominations,"Gosford Park,Can You Ever Forgive Me?,Hudson Hawk,Withnail & I",1.88 m,"May 5, 1957","Mbabane, Hhohho, Eswatini"
"Actor,Director,Producer",no awards no nominations,"Kill List,Game of Thrones,102 Dalmatians,Rebecca",(1.68 m,1974,"Stockport, Greater Manchester, England, UK"
"Actress,Director,Writer",no awards no nominations,"Once Upon a Time: Magic Is Coming,Bates Motel,The Magicians,The Twilight Zone",1.63 m,"December 3, 1971","Windsor, Ontario, Canada"
"Actress,Soundtrack",no awards no nominations,"Compliance,Hereditary,Garden Flower,The Manchurian Candidate",1.63 m,"January 30, 1956","Holyoke, Massachusetts, USA"
"Actor,Director,Writer",no awards no nominations,"Flesh and Blood,The End of Love,Green Room,Scott Pilgrim vs. The World", (1.82 m,"July 19, 1980","Minneapolis, Minnesota, USA"
Actress,no awards no nominations,"Family Law,Delia's Gone,Christmas on Mistletoe Lake,Spiral: From the Book of Saw",1.65 m,"February 18, 1984","Toronto, Ontario, Canada"
"Actor,Director,Writer",no awards no nominations,"Frozen River,Unbelievable,Instant Family,The Middle",1.70 m,"April 6, 1990","West Chester, Pennsylvania, USA"
"Actor,Producer",no awards no nominations,"Big Sky,The Watcher,Fringe,Salem",(1.78 m,"October 3, 1981","Hollywood, Florida, USA"
Actress,no awards no nominations,"Hellboy,Star Trek: Picard,Χωρίς φραγμούς,Hemlock Grove",1.75 m,"July 24, 1991","Melbourne, Australia"
"Actress,Producer,Talent Agent",no awards no nominations,"Belle De Jour,Repulsion,8 femmes,Dancer in the Dark",(1.66 m,"October 22, 1943","Paris, France"
"Actor,Soundtrack",no awards no nominations,"The Rite,Once Upon a Time,The Dust Storm,Carrie Pilby",(1.78 m,"January 26, 1981","Drogheda, County Louth, Ireland"
"Actress,Producer,Costume and Wardrobe Department",no awards no nominations,"Gilligan's Island,The Town That Dreaded Sundown,Baywatch,Rescue from Gilligan's Island",1.63 m,"October 18, 1938","Reno, Nevada, USA"
Actress,no awards no nominations,"The Godfather,Lucrezia giovane,The Godfather: A Novel for Television,Quer pasticciaccio brutto de via Merulana",1.68 m,"November 30, 1954","Rome, Lazio, Italy"
