id_,names,worked_as,famous_movies,height,dob,birthplace,place  ,subcity,city   ,county ,state  ,country
nm0000491,John Leguizamo,"Actor,Writer,Producer","Moulin Rouge!,Spawn,Summer of Sam,Romeo + Juliet",1.69,"July 22, 1960","Bogotá, Colombia",Not Available,Not Available,Not available,Not Available,Bogotá,Colombia
nm1843026,Gillian Jacobs,"Actress,Director,Writer","Community,The Box,Choke,Walk of Shame",1.63,"October 19, 1982","Pittsburgh, Pennsylvania, USA",Not Available,Not Available,Pittsburgh,Not Available,Pennsylvania,USA
nm1411125,Selena Gomez,"Music Artist,Actress,Music Department","Spring Breakers,Monte Carlo,Hotel Transylvania,Getaway",1.65,"July 22, 1992","Grand Prairie, Texas, USA",Not Available,Not Available,Grand Prairie,Not Available,Texas,USA
nm3835303,Lizze Broadway,Actress,"Bones,Here and Now,Slay,Splitting Up Together",1.55,"February 16, 1998","Toledo, Ohio, USA",Not Available,Not Available,Toledo,Not Available,Ohio,USA
nm0005128,Lucy Lawless,"Actress,Producer,Director","Xena: Warrior Princess,Spartacus: Blood and Sand,Spider-Man,EuroTrip",1.77,"March 29, 1968","Mount Albert, Auckland, New Zealand",Not Available,Not Available,Mount Albert,Not Available,Auckland,New Zealand
nm0001840,Ming-Na Wen,"Actress,Soundtrack","Mulan,Agents of S.H.I.E.L.D.,Street Fighter,Final Fantasy: The Spirits Within",1.63,"November 20, 1963","Coloane Island, Macau",Not Available,Not Available,Not available,Not Available,Coloane Island,Macau
nm0912528,Malcolm-Jamal Warner,"Actor,Music Department,Producer","The Cosby Show,Reed Between the Lines,Malcolm & Eddie,Fool's Gold",1.8,"August 18, 1970","Jersey City, New Jersey, USA",Not Available,Not Available,Jersey City,Not Available,New Jersey,USA
nm0781533,Rhea Seehorn,"Actress,Writer,Producer","Better Call Saul,Veep,The Twilight Zone,Whitney",1.64,"May 12, 1972","Norfolk, Virginia, USA",Not Available,Not Available,Norfolk,Not Available,Virginia,USA
nm0004695,Jessica Alba,"Actress,Producer,Cinematographer","Fantastic Four,Sin City,4: Rise of the Silver Surfer,Machete",1.7,"April 28, 1981","Pomona, California, USA",Not Available,Not Available,Pomona,Not Available,California,USA
nm0000507,Rob Lowe,"Actor,Producer,Writer","St. Elmo's Fire,Outsiders,Wayne's World,Behind the Candelabra",1.78,"March 17, 1964","Charlottesville, Virginia, USA",Not Available,Not Available,Charlottesville,Not Available,Virginia,USA
nm0528462,Susan Lynch,"Actress,Director,Writer","Waking Ned,From Hell,Nora,Enduring Love",1.64,"June 5, 1971","Corrinshego, Newry, Northern Ireland, UK",Corrinshego,Not Available,Newry,Not Available,Northern Ireland,UK
nm1737500,Katy Mixon,"Actress,Music Department,Soundtrack","Hell or High Water,Four Christmases",1.7,"March 30, 1981","Pensacola, Florida, USA",Not Available,Not Available,Pensacola,Not Available,Florida,USA
nm1640384,Fivel Stewart,"Actress,Stunts,Soundtrack","Atypical,Roar,Umma,Graymail",1.7,"November 4, 1996","Beverly Hills, California, USA",Not Available,Not Available,Beverly Hills,Not Available,California,USA
nm0546797,Mark Margolis,Actor,"Pi,Requiem for a Dream,Ace Ventura: Pet Detective,Scarface",1.8,"November 26, 1939","Philadelphia, Pennsylvania, USA",Not Available,Not Available,Philadelphia,Not Available,Pennsylvania,USA
nm0790057,Alia Shawkat,"Actress,Producer,Director","Arrested Development,The to Do List,Roller Girls,Duck Butter",1.65,"April 18, 1989","Riverside, California, USA",Not Available,Not Available,Riverside,Not Available,California,USA
nm0004936,Ben Foster,"Actor,Producer,Director","Hell or High Water,3:10 to Yuma,The Messenger,Leave No Trace",1.73,"October 29, 1980","Boston, Massachusetts, USA",Not Available,Not Available,Boston,Not Available,Massachusetts,USA
nm8510480,James Scully,Actor,"Straight Up,Titans,The Last Thing He Wanted,You",3.0,"April 19, 1992","San Antonio, Texas, USA",Not Available,Not Available,San Antonio,Not Available,Texas,USA
nm0647010,Susan Oliver,"Actress,Director,Writer","Star Trek,The Gene Krupa Story,BUtterfield 8,Your Cheatin' Heart",1.65,"February 13, 1932","New York City, New York, USA",Not Available,Not Available,New York City,Not Available,New York,USA
nm3886028,Angourie Rice,"Actress,Soundtrack","The Nice Guys,Spider-Man: Homecoming,The Beguiled,These Final Hours",1.6,"January 1, 2001",Australia,Not Available,Not Available,Not available,Not Available,Not Available,Australia
nm2340289,Rebecca Root,"Actress,Soundtrack","The Queen's Gambit,Les frères Sisters,The Danish Girl,Boy Meets Girl",1.84,"May 10, 1969","Woking, Surrey, England, UK",Woking,Not Available,Surrey,Not Available,England,UK
nm0293509,Martin Freeman,"Actor,Writer,Producer","Black Panther,The Hobbit: An Unexpected Journey,The World's End,The Hobbit: The Desolation of Smaug",1.7,"September 8, 1971","Aldershot, Hampshire, England, UK",Aldershot,Not Available,Hampshire,Not Available,England,UK
nm0001314,John Hannah,"Actor,Producer","Four Weddings and a Funeral,The Mummy,The Hurricane,The Mummy: Tomb of the Dragon Emperor",1.77,"April 23, 1962","East Kilbride, Scotland, UK",Not Available,Not Available,East Kilbride,Not Available,Scotland,UK
nm1094137,Molly Gordon,"Actress,Writer,Producer","Booksmart,Theater Camp,You People,Good Boys",1.63,"December 6, 1994","Los Angeles, California, USA",Not Available,Not Available,Los Angeles,Not Available,California,USA
nm0005476,Hilary Swank,"Actress,Producer,Soundtrack","Million Dollar Baby,Boys Don't Cry,P.S. I Love You,The Homesman",1.68,"July 30, 1974","Lincoln, Nebraska, USA",Not Available,Not Available,Lincoln,Not Available,Nebraska,USA
nm1335291,Missy Peregrym,Actress,"Stick It,Rookie Blue,Cybergeddon,Reaper",1.66,"June 16, 1982","Montreal, Quebec, Canada",Not Available,Not Available,Montreal,Not Available,Quebec,Canada
nm0000110,Kenneth Branagh,"Actor,Producer,Director","Henry V,Hamlet,Much Ado About Nothing,Murder on the Orient Express",1.77,"December 10, 1960","Belfast, Northern Ireland, UK",Not Available,Not Available,Belfast,Not Available,Northern Ireland,UK
nm0356017,Rebecca Hall,"Actress,Producer,Director","Vicky Cristina Barcelona,The Town,The Prestige,Christine",1.78,"May 3, 1982","London, England, UK",Not Available,Not Available,London,Not Available,England,UK
nm0000317,Clancy Brown,"Actor,Producer,Soundtrack","The Shawshank Redemption,Starship Troopers,A Nightmare on Elm Street,The SpongeBob Movie: Sponge Out of Water",1.91,"January 5, 1959","Urbana, Ohio, USA",Not Available,Not Available,Urbana,Not Available,Ohio,USA
nm2100081,Phoebe Tonkin,"Actress,Director,Writer","Tomorrow, When the War Began,H2O: Just Add Water,Babylon,Bait",1.72,"July 12, 1989","Sydney, New South Wales, Australia",Not Available,Not Available,Sydney,Not Available,New South Wales,Australia
nm2365811,Betty Gilpin,"Actress,Producer,Soundtrack","The Hunt,Isn't It Romantic,The Tomorrow War,GLOW",1.7,"July 21, 1986","New York City, New York, USA",Not Available,Not Available,New York City,Not Available,New York,USA
nm0736622,Seth Rogen,"Producer,Actor,Writer","This Is the End,Superbad,Pineapple Express,Sausage Party",1.8,"April 15, 1982","Vancouver, British Columbia, Canada",Not Available,Not Available,Vancouver,Not Available,British Columbia,Canada
nm0001096,Timothy Dalton,"Actor,Soundtrack","The Living Daylights,Hot Fuzz,Flash Gordon,Licence to Kill",1.87,"March 21, 1946","Colwyn Bay, Wales, UK",Not Available,Not Available,Colwyn Bay,Not Available,Wales,UK
nm0000510,Andie MacDowell,"Actress,Producer,Writer","Groundhog Day,Sex, Lies, and Videotape,Four Weddings and a Funeral,Hudson Hawk",1.73,"April 21, 1958","Gaffney, South Carolina, USA",Not Available,Not Available,Gaffney,Not Available,South Carolina,USA
nm0159789,Hayden Christensen,"Actor,Producer,Executive","Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode II - Attack of the Hammocks,Jumper,Shattered Glass",3.0,"April 19, 1981","Vancouver, British Columbia, Canada",Not Available,Not Available,Vancouver,Not Available,British Columbia,Canada
nm0059215,Mischa Barton,"Actress,Writer","The O.C.,The Sixth Sense,Notting Hill,Lost and Delirious",1.75,"January 24, 1986","London, England, UK",Not Available,Not Available,London,Not Available,England,UK
nm0000380,Robert Duvall,"Actor,Producer,Director","The Apostle,Apocalypse Now,Tender Mercies,The Godfather",1.74,"January 5, 1931","San Diego, California, USA",Not Available,Not Available,San Diego,Not Available,California,USA
nm0000558,Leslie Nielsen,"Actor,Producer,Writer","Flying High,The Naked Gun 2½: The Smell of Fear,The Naked Gun: From the Files of Police Squad!,Wrongfully Accused",1.85,"February 11, 1926","Regina, Saskatchewan, Canada",Not Available,Not Available,Regina,Not Available,Saskatchewan,Canada
nm0722636,John Rhys-Davies,"Actor,Sound Department,Producer","The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Raiders of the Lost Ark",1.85,"May 5, 1944","Ammanford, Wales, UK",Not Available,Not Available,Ammanford,Not Available,Wales,UK
nm1310368,Minka Kelly,"Actress,Soundtrack","The Roommate,(500) Days of Summer,Just Go with It,The Butler",1.65,"June 24, 1980","Los Angeles, California, USA",Not Available,Not Available,Los Angeles,Not Available,California,USA
nm1433588,Jim Parsons,"Actor,Producer,Soundtrack","The Big Bang Theory,The Normal Heart,Home,Hidden Figures",1.86,"March 24, 1973","Houston, Texas, USA",Not Available,Not Available,Houston,Not Available,Texas,USA
nm0000696,Wil Wheaton,"Actor,Writer,Producer","Stand by Me,The Secret of NIMH,Toy Soldiers,Star Trek: The Next Generation",1.77,"July 29, 1972","Burbank, California, USA",Not Available,Not Available,Burbank,Not Available,California,USA
nm0001231,Claire Forlani,"Actress,Producer","Meet Joe Black,Mystery Men,In the Name of the King: A Dungeon Siege Tale,Mallrats",1.66,"December 17, 1971","Twickenham, Middlesex, England, UK",Twickenham,Not Available,Middlesex,Not Available,England,UK
nm2731660,Charlotte Riley,"Actress,Producer","In the Heart of the Sea,Edge of Tomorrow,Entity,London Has Fallen",1.65,"December 29, 1981","England, UK",Not Available,Not Available,Not available,Not Available,England,UK
nm0500200,Chyler Leigh,"Actress,Producer,Director","Not Another Teen Movie,Brake,Supergirl,That '80s Show",1.69,"April 10, 1982","Charlotte, North Carolina, USA",Not Available,Not Available,Charlotte,Not Available,North Carolina,USA
nm0000368,Laura Dern,"Actress,Producer,Writer","Jurassic Park,Wild,Marriage Story,Blue Velvet",1.79,"February 10, 1967","Saint John's Health Center, Santa Monica, Los Angeles County, California, USA",Saint John's Health Center, Santa Monica,Los Angeles County,Not Available,California,USA
nm1638321,Maya Hawke,"Actress,Music Department,Composer","Fear Street: Part One - 1994,Do Revenge,Stranger Things,Little Women",1.74,"July 8, 1998","New York City, New York, USA",Not Available,Not Available,New York City,Not Available,New York,USA
nm0009918,Amy Acker,"Actress,Producer,Director","Angel,The Cabin in the Woods,Person of Interest,Alias",1.73,"December 5, 1976","Dallas, Texas, USA",Not Available,Not Available,Dallas,Not Available,Texas,USA
nm0426059,Rian Johnson,"Producer,Writer,Director","Knives Out,Looper,Glass Onion: A Knives Out Mystery,Star Wars: The Last Jedi",1.66,"December 17, 1973","Silver Spring, Maryland, USA",Not Available,Not Available,Silver Spring,Not Available,Maryland,USA
nm0000202,Ryan Phillippe,"Actor,Producer,Director","Gosford Park,Crash,Cruel Intentions,54",1.73,"September 10, 1974","New Castle, Delaware, USA",Not Available,Not Available,New Castle,Not Available,Delaware,USA
nm1423955,Lucy Hale,"Actress,Producer,Soundtrack","Truth or Dare,Scream 4,Fantasy Island,Pretty Little Liars",1.57,"June 14, 1989","Memphis, Tennessee, USA",Not Available,Not Available,Memphis,Not Available,Tennessee,USA
nm0451321,Shah Rukh Khan,"Actor,Producer,Music Department","Don 2,My Name Is Khan,Devdas,Jab Tak Hai Jaan",1.69,"November 2, 1965","New Delhi, India",Not Available,Not Available,Not available,Not Available,New Delhi,India
nm0088127,Alexis Bledel,"Actress,Producer,Soundtrack","Gilmore Girls,Sin City,The Sisterhood of the Traveling Pants,Tuck Everlasting",1.7,"September 16, 1981","Houston, Texas, USA",Not Available,Not Available,Houston,Not Available,Texas,USA
nm0005182,Leslie Mann,Actress,"Knocked Up,The Other Woman,This Is 40,The 40 Year Old Virgin",1.69,"March 26, 1972","San Francisco, California, USA",Not Available,Not Available,San Francisco,Not Available,California,USA
nm0819851,Dylan Sprouse,"Actor,Producer,Soundtrack","Turandot,After We Collided,Banana Split,Tyger Tyger",1.78,"August 4, 1992","Arezzo, Tuscany, Italy",Not Available,Not Available,Arezzo,Not Available,Tuscany,Italy
nm0401264,Michiel Huisman,"Actor,Soundtrack","The Age of Adaline,Harley and the Davidsons,Game of Thrones,Treme",1.85,"July 18, 1981","Amstelveen, Noord-Holland, Netherlands",Not Available,Not Available,Amstelveen,Not Available,Noord-Holland,Netherlands
nm0425543,Kenny Johnson,"Actor,Producer,Director","The Shield,Blade,I Heard the Mermaids Singing,Check Point",1.85,"July 13, 1963","New Haven, Connecticut, USA",Not Available,Not Available,New Haven,Not Available,Connecticut,USA
nm0636426,Noomi Rapace,"Actress,Producer","Män som hatar kvinnor,Prometheus,Flickan som lekte med elden,Sherlock Holmes: A Game of Shadows",1.63,"December 28, 1979","Hudiksvall, Gävleborgs län, Sweden",Not Available,Not Available,Hudiksvall,Not Available,Gävleborgs län,Sweden
nm0000163,Dustin Hoffman,"Actor,Producer,Director","Tootsie,The Graduate,Rain Man,Midnight Cowboy",1.67,"August 8, 1937","Los Angeles, California, USA",Not Available,Not Available,Los Angeles,Not Available,California,USA
nm0665235,Elsa Pataky,"Actress,Producer,Soundtrack","Furious 6,Fast Five,Interceptor,Snakes on a Plane",1.61,"July 18, 1976","Madrid, Spain",Not Available,Not Available,Not available,Not Available,Madrid,Spain
nm0000195,Bill Murray,"Actor,Writer,Producer","Lost in Translation,Rushmore,The Life Aquatic with Steve Zissou,Moonrise Kingdom",1.88,"September 21, 1950","Wilmette, Illinois, USA",Not Available,Not Available,Wilmette,Not Available,Illinois,USA
nm1092227,Sienna Miller,"Actress,Additional Crew,Producer","G.I. Joe: The Rise of Cobra,American Sniper,Layer Cake,The Lost City of Z",1.65,"December 28, 1981","New York City, New York, USA",Not Available,Not Available,New York City,Not Available,New York,USA
nm4003553,Dylan Arnold,"Actor,Producer","Halloween,Mudbound,Nashville,Laggies",3.0,"February 11, 1994","Seattle, Washington, USA",Not Available,Not Available,Seattle,Not Available,Washington,USA
nm2772105,Oona Chaplin,"Actress,Soundtrack","The Longest Ride,Game of Thrones,Quantum of Solace,The Devil's Double",1.7,"June 4, 1986","Madrid, Spain",Not Available,Not Available,Not available,Not Available,Madrid,Spain
nm1122026,Hilarie Burton,"Actress,Producer,Art Director","One Tree Hill,Bees' Secret Life,Surprised by Love,Extant",1.71,"July 1, 1982","Sterling, Virginia, USA",Not Available,Not Available,Sterling,Not Available,Virginia,USA
nm2177528,Kate Micucci,"Actress,Writer,Producer","When in Rome,Steven Universe,The LEGO Batman Movie,DuckTales",1.57,"March 31, 1980","New Jersey, USA",Not Available,Not Available,Not available,Not Available,New Jersey,USA
nm0000337,Rachael Leigh Cook,"Actress,Producer,Writer","She's All That,Love, Guaranteed,A Midsummer Night's Dream,11:14",1.57,"October 4, 1979","Minneapolis, Minnesota, USA",Not Available,Not Available,Minneapolis,Not Available,Minnesota,USA
nm4058898,Diane Guerrero,"Actress,Writer,Producer","Orange Is the New Black,Encanto,Emoticon ;),Doom Patrol",1.57,"July 21, 1986","Passaic, New Jersey, USA",Not Available,Not Available,Passaic,Not Available,New Jersey,USA
nm0035514,Richard Armitage,"Actor,Producer,Writer","The Hobbit: An Unexpected Journey,The Hobbit: The Battle of the Five Armies,The Hobbit: The Desolation of Smaug,Into the Storm",1.89,"August 22, 1971","Leicester, Leicestershire, England, UK",Leicester,Not Available,Leicestershire,Not Available,England,UK
nm0000030,Audrey Hepburn,"Actress,Soundtrack","Breakfast at Tiffany's,Roman Holiday,Charade,My Fair Lady",1.7,"May 4, 1929","Ixelles, Brussels, Belgium",Not Available,Not Available,Ixelles,Not Available,Brussels,Belgium
nm3726887,Jessica Brown Findlay,"Actress,Soundtrack","Brave New World,Harlots,Hamlet,Black Mirror",1.65,"September 14, 1989","Cookham, Berkshire, England, UK",Cookham,Not Available,Berkshire,Not Available,England,UK
nm3783235,Nichole Sakura,"Actress,Writer,Director","Until Dawn,Model Minority,Project X,Superstore",1.7,"December 15, 1989","Santa Clara County, California, USA",Not Available,Not Available,Santa Clara County,Not Available,California,USA
nm0000179,Jude Law,"Actor,Producer,Director","The Talented Mr. Ripley,Closer,The Grand Budapest Hotel,Sky Captain and the World of Tomorrow",1.78,"December 29, 1972","Lewisham, London, England, UK",Lewisham,Not Available,London,Not Available,England,UK
nm1495520,Caitríona Balfe,"Actress,Producer,Soundtrack","Belfast,Outlander,Ford v. Ferrari,Escape Plan",1.75,"October 4, 1979","Dublin, Ireland",Not Available,Not Available,Not available,Not Available,Dublin,Ireland
nm5808592,Chloe Rose Robertson,Actress,"Wildflower,Wolf Pack,Entertainment Tonight",1.73,"October 4, 1979","Dublin, Ireland",Not Available,Not Available,Not available,Not Available,Dublin,Ireland
nm2552034,Melissa Benoist,"Actress,Director,Music Department","Supergirl,Whiplash,Patriots Day,Jay and Silent Bob Reboot",1.73,"October 4, 1988","Littleton, Colorado, USA",Not Available,Not Available,Littleton,Not Available,Colorado,USA
nm6575931,Audrey Corsa,Actress,"Dear Edward,Poker Face,New Amsterdam,All Rise",1.7,"November 21, 1995","Los Angeles, California",Not Available,Not Available,Not available,Not Available,Los Angeles,California
nm0613147,Lochlyn Munro,"Actor,Producer,Soundtrack","Riverdale,White Chicks,Unforgiven,Scary Movie",1.8,"February 12, 1966","Lac La Hache, British Columbia, Canada",Not Available,Not Available,Lac La Hache,Not Available,British Columbia,Canada
nm1310016,Brian Geraghty,"Actor,Producer,Soundtrack","The Hurt Locker,Bobby,Flight,The Guardian",1.78,May 13,"Toms River, New Jersey, USA",Not Available,Not Available,Toms River,Not Available,New Jersey,USA
nm1137209,Tatiana Maslany,"Actress,Producer,Soundtrack","Orphan Black,Stronger,Cas & Dylan,Ginger Snaps 2: Unleashed",1.63,"September 22, 1985","Regina, Saskatchewan, Canada",Not Available,Not Available,Regina,Not Available,Saskatchewan,Canada
nm0000602,Robert Redford,"Producer,Actor,Director","The Natural,Ordinary People,Butch Cassidy and the Sundance Kid,All the President's Men",1.79,"August 18, 1936","Santa Monica, California, USA",Not Available,Not Available,Santa Monica,Not Available,California,USA
nm0000347,Tim Curry,"Actor,Producer,Soundtrack","Congo,Clue,The Rocky Horror Picture Show,The Three Musketeers",1.72,"April 19, 1946","Grappenhall, Cheshire, England, UK",Grappenhall,Not Available,Cheshire,Not Available,England,UK
nm6441597,Rhys Connah,Actor,"Happy Valley,The Messenger,The Runaways,The Snow Maze",1.72,"April 19, 1946","Grappenhall, Cheshire, England, UK",Grappenhall,Not Available,Cheshire,Not Available,England,UK
nm0526019,Diego Luna,"Actor,Producer,Director","Rogue One,Y tu mamá también,The Book of Life,Open Range",1.76,"December 29, 1979","Mexico City, Distrito Federal, Mexico",Not Available,Not Available,Mexico City,Not Available,Distrito Federal,Mexico
nm0629697,Rachel Nichols,"Actress,Producer","G.I. Joe: The Rise of Cobra,Star Trek,Continuum,The Amityville Horror",1.78,"January 8, 1980","Augusta, Maine, USA",Not Available,Not Available,Augusta,Not Available,Maine,USA
nm0001315,Marcia Gay Harden,"Actress,Producer","Mystic River,The Mist,Into the Wild,Pollock",1.64,"August 14, 1959","La Jolla, California, USA",Not Available,Not Available,La Jolla,Not Available,California,USA
nm2902567,Aneurin Barnard,"Actor,Music Department,Soundtrack","Dunkirk,The Goldfinch,Cilla,War & Peace",1.74,"May 8, 1987","Ogwr, Mid Glamorgan, Wales, UK",Ogwr,Not Available,Mid Glamorgan,Not Available,Wales,UK
nm2140860,Maika Monroe,"Actress,Producer","It Follows,Independence Day: Resurgence,The 5th Wave,The Guest",1.65,"May 29, 1993","Santa Barbara, California, USA",Not Available,Not Available,Santa Barbara,Not Available,California,USA
nm0005306,Pauley Perrette,"Actress,Producer,Director","NCIS,Almost Famous,Superman vs. The Elite,Brochet Bear",1.78,"March 27, 1969","New Orleans, Louisiana, USA",Not Available,Not Available,New Orleans,Not Available,Louisiana,USA
nm0197647,James Badge Dale,Actor,"The Departed,13 Hours,World War Z,Iron Man Three",1.78,"May 1, 1978","New York City, New York, USA",Not Available,Not Available,New York City,Not Available,New York,USA
nm0852132,Christine Taylor,"Actress,Writer,Producer","Dodgeball,The Wedding Singer,Zoolander,A Very Brady Sequel",1.68,"July 30, 1971","Allentown, Pennsylvania, USA",Not Available,Not Available,Allentown,Not Available,Pennsylvania,USA
nm0004748,Julie Benz,"Actress,Producer,Soundtrack","Dexter,Hawaii Five-0,Defiance,Rambo 4",1.63,"May 1, 1972","Pittsburgh, Pennsylvania, USA",Not Available,Not Available,Pittsburgh,Not Available,Pennsylvania,USA
nm0000150,Michael J. Fox,"Actor,Producer,Additional Crew","Back to the Future,Back to the Future Part II,Spin City,The Frighteners",1.63,"June 9, 1961","Edmonton, Alberta, Canada",Not Available,Not Available,Edmonton,Not Available,Alberta,Canada
nm0004825,Emmanuelle Chriqui,"Actress,Producer","Wrong Turn,You Don't Mess with the Zohan,100 Girls,Waiting...",1.6,"December 10, 1975","Montreal, Quebec, Canada",Not Available,Not Available,Montreal,Not Available,Quebec,Canada
nm0471036,Kristin Kreuk,"Actress,Producer","EuroTrip,Smallville,Street Fighter: The Legend of Chun-Li,Beauty and the Beast",1.63,"December 30, 1982","Vancouver, British Columbia, Canada",Not Available,Not Available,Vancouver,Not Available,British Columbia,Canada
nm0000383,Jennifer Ehle,Actress,"Zero Dark Thirty,A Quiet Passion,Little Men,Pride and Prejudice",1.7,"December 29, 1969","Winston-Salem, North Carolina, USA",Not Available,Not Available,Winston-Salem,Not Available,North Carolina,USA
nm0000343,David Cronenberg,"Actor,Director,Writer","The Fly,Dead Ringers,eXistenZ,Crash",1.75,"March 15, 1943","Toronto, Ontario, Canada",Not Available,Not Available,Toronto,Not Available,Ontario,Canada
nm0000169,Tommy Lee Jones,"Actor,Director,Writer","The Fugitive,No Country for Old Men,The Homesman,Lincoln",3.0,"September 15, 1946","San Saba, Texas, USA",Not Available,Not Available,San Saba,Not Available,Texas,USA
nm0898288,Denis Villeneuve,"Director,Writer,Editor","Dune,Blade Runner 2049,Arrival,Incendies",1.82,"October 3, 1967","Trois-Rivières, Québec, Canada",Not Available,Not Available,Trois-Rivières,Not Available,Québec,Canada
nm0799777,J.K. Simmons,"Actor,Soundtrack","Whiplash,Juno,La La Land,Spider-Man",1.77,"January 9, 1955","Grosse Pointe, Michigan, USA",Not Available,Not Available,Grosse Pointe,Not Available,Michigan,USA
nm5397459,Daisy Ridley,"Actress,Producer,Soundtrack","Star Wars: The Force Awakens,Star Wars: The Last Jedi,Murder on the Orient Express,Star Wars: Episode IX - The Rise of Skywalker",1.7,"April 10, 1992","London, England, UK",Not Available,Not Available,London,Not Available,England,UK
nm0366389,Kevin Hart,"Producer,Writer,Actor","Ride Along,Central Intelligence,Grudge Match,The Secret Life of Pets",1.57,"July 6, 1979","Philadelphia, Pennsylvania, USA",Not Available,Not Available,Philadelphia,Not Available,Pennsylvania,USA
nm2652716,Grant Gustin,"Actor,Music Department,Soundtrack","The Flash,Supergirl,Superhero Fight Club,Arrow",3.0,"January 14, 1990","Norfolk, Virginia, USA",Not Available,Not Available,Norfolk,Not Available,Virginia,USA
nm0000107,Kim Basinger,"Actress,Producer,Soundtrack","L.A. Confidential,Batman,Cellular,Wayne's World 2",1.72,"December 8, 1953","Athens, Georgia, USA",Not Available,Not Available,Athens,Not Available,Georgia,USA
nm0493279,Maggie Lawson,"Actress,Soundtrack","Gamer,Psych,Cleaner,Pleasantville",1.61,"August 12, 1980","Louisville, Kentucky, USA",Not Available,Not Available,Louisville,Not Available,Kentucky,USA
nm0993507,Kat Dennings,"Actress,Producer,Soundtrack","Nick and Norah's Infinite Playlist,Thor,Thor: The Dark World,Charlie Bartlett",1.64,"June 13, 1986","Philadelphia, Pennsylvania, USA",Not Available,Not Available,Philadelphia,Not Available,Pennsylvania,USA
nm0609845,Anson Mount,"Actor,Producer,Director","Crossroads,Doctor Strange in the Multiverse of Madness,Safe,Star Trek: Strange New Worlds",1.82,"February 25, 1973","White Bluff, Tennessee, USA",Not Available,Not Available,White Bluff,Not Available,Tennessee,USA
nm0000313,Jeff Bridges,"Actor,Producer,Art Department","The Big Lebowski,Crazy Heart,True Grit,Starman",1.85,"December 4, 1949","Los Angeles, California, USA",Not Available,Not Available,Los Angeles,Not Available,California,USA
nm4023073,Rosa Salazar,"Actress,Producer,Director","Alita: Battle Angel,Maze Runner: The Scorch Trials,The Maze Runner: The Death Cure,Bird Box",1.63,"July 16, 1985","Washington D.C., USA",Not Available,Not Available,Not available,Not Available,Washington D.C.,USA
nm1741002,Matt Smith,"Actor,Director,Stunts","Doctor Who,The Crown,Morbius,Last Night in Soho",1.82,"October 28, 1982","Northampton, Northamptonshire, England, UK",Northampton,Not Available,Northamptonshire,Not Available,England,UK
nm0000131,John Cusack,"Actor,Producer,Writer","Grosse Pointe Blank,High Fidelity,1408,Say Anything...",1.88,"June 28, 1966","Evanston, Illinois, USA",Not Available,Not Available,Evanston,Not Available,Illinois,USA
nm0000473,Diane Keaton,"Actress,Producer,Director","Annie Hall,Something's Gotta Give,Love and Death,Reds",1.69,"January 5, 1946","Los Angeles, California, USA",Not Available,Not Available,Los Angeles,Not Available,California,USA
nm0378245,Taraji P. Henson,"Actress,Producer,Director","The Curious Case of Benjamin Button,Hidden Figures,Hustle & Flow,The Karate Kid",1.63,"September 11, 1970","Washington D.C., USA",Not Available,Not Available,Not available,Not Available,Washington D.C.,USA
nm8547878,Beatrice Grannò,Actress,"The White Lotus,Gli indifferenti,Zero,Euphony",1.61,"May 6, 1993","Rome, Lazio, Italy",Not Available,Not Available,Rome,Not Available,Lazio,Italy
nm0857620,Justin Theroux,"Actor,Producer,Writer","Mulholland Dr.,Your Highness,American Psycho,The Girl on the Train",1.75,"August 10, 1971","Washington, District of Columbia, USA",Not Available,Not Available,Washington,Not Available,District of Columbia,USA
nm0000686,Christopher Walken,"Actor,Producer,Additional Crew","The Deer Hunter,Catch Me If You Can,Hairspray,The Prophecy",3.0,"March 31, 1943","Astoria, Queens, New York City, New York, USA",Astoria, Queens,New York City,Not Available,New York,USA
nm0278239,Siobhan Finneran,Actress,"Downton Abbey,Boy A,Happy Valley,Rita, Sue and Bob Too",3.0,"April 27, 1966","Oldham, Lancashire, England, UK",Oldham,Not Available,Lancashire,Not Available,England,UK
nm0000225,Christian Slater,"Actor,Producer,Director","Very Bad Things,True Romance,Broken Arrow,Robin Hood: Prince of Thieves",1.73,"August 18, 1969","New York City, New York, USA",Not Available,Not Available,New York City,Not Available,New York,USA
nm0000579,Ron Perlman,"Actor,Producer,Director","Hand of God,Hellboy II: The Golden Army,Hellboy,Beauty and the Beast",1.8,"April 13, 1950","New York City, New York, USA",Not Available,Not Available,New York City,Not Available,New York,USA
nm3450051,Richard Cabral,"Actor,Producer,Writer","End of Watch,Paranormal Activity: The Marked Ones,Walk of Shame,American Crime",1.75,"August 28, 1984","East Los Angeles, California, USA",Not Available,Not Available,East Los Angeles,Not Available,California,USA
nm0221043,Emily Deschanel,"Actress,Producer,Director","Bones,Boogeyman,Spider-Man 2,Cold Mountain",1.75,"October 11, 1976","Los Angeles, California, USA",Not Available,Not Available,Los Angeles,Not Available,California,USA
nm5575725,Lucas Bravo,Actor,"Ticket to Paradise,Mrs.Harris Goes to Paris,Emily in Paris,La crème de la crème",1.85,"March 26, 1988","Nice, France",Not Available,Not Available,Not available,Not Available,Nice,France
