id_,names,profession,worked_as,famous_for,famous_movies,height,dob,birthplace,img_link,profile_link
nm0001326,Josh Hartnett,Actor,"Actor,Producer",Lucky Number Slevin,"Lucky Number Slevin,30 Days of Night,The Faculty,The Black Dahlia",1.91 m,"July 21, 1978","St. Paul, Minnesota, USA","https://m.media-amazon.com/images/M/MV5BMTY5MDgzNDA2MF5BMl5BanBnXkFtZTcwODE3ODg1Mg@@._V1_UY209_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0001326
nm0954036,Natalie Zea,Actress,"Actress,Director",Justified,"Justified,The Other Guys,The Shield,The Detour",1.65 m,"March 17, 1975","Harris County, Texas, USA","https://m.media-amazon.com/images/M/MV5BNTQ3N2JmNzEtMTQ4MC00MDFlLThhMjYtZDhhNGYyZjZlZGUwXkEyXkFqcGdeQXVyOTc2MzI0NjE@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0954036
nm7567556,Ariana Greenblatt,Actress,Actress,Love and Monsters,"65,Monster Problems,Awake,Avengers: Infinity War",1.65 m,August 27,"New York, USA","https://m.media-amazon.com/images/M/MV5BNGFlZDExYmEtMzlhZS00ZDcyLTg3M2UtOWJjMzM4ZWI3ODgyXkEyXkFqcGdeQXVyNDM1NjQzOQ@@._V1_UY209_CR87,0,140,209_AL_.jpg",https://www.imdb.com/name/nm7567556
nm0715636,Peyton Reed,Director,"Director,Producer,Actor",Ant-Man,"Ant-Man,Bring It On,Ant-Man and the Wasp,Ant-Man and the Wasp: Quantumania",(1.87 m,"July 3, 1964","Raleigh, North Carolina, USA","https://m.media-amazon.com/images/M/MV5BMTkwNTk3MzY2NV5BMl5BanBnXkFtZTgwNjc2MjM0NjE@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0715636
nm1658935,Jack Huston,Actor,"Actor,Soundtrack",Kill Your Darlings,"Kill Your Darlings,American Hustle,Ben-Hur,Outlander",3 m,"December 7, 1982","London, England, UK","https://m.media-amazon.com/images/M/MV5BYmJhNzYzNzgtMzUwYS00ZDUzLWJmODItYzRhMTlmMzVjNjkwXkEyXkFqcGdeQXVyMjEwOTk0MTk@._V1_UY209_CR29,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1658935
nm1564087,Jenna Dewan,Actress,"Actress,Producer",Step Up,"Step Up,Take the Lead,Tamara,10 Years",1.57 m,"December 3, 1980","Hartford, Connecticut, USA","https://m.media-amazon.com/images/M/MV5BMTUwNTgxNjU1NV5BMl5BanBnXkFtZTgwNjY4OTU2MDI@._V1_UY209_CR6,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1564087
nm0005377,Sam Rockwell,Actor,"Actor,Producer,Director",Moon,"Moon,Three Billboards Outside Ebbing, Missouri,Confessions of a Dangerous Mind,Seven Psychopaths",1.73 m,"November 5, 1968","Daly City, California, USA","https://m.media-amazon.com/images/M/MV5BMTc2NTM3MzE5NF5BMl5BanBnXkFtZTcwMjg4NDMwNA@@._V1_UY209_CR3,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0005377
nm0001718,Kyra Sedgwick,Actress,"Actress,Producer,Director",The Closer,"The Closer,The Woodsman,Phenomenon,Something to Talk About",1.65 m,"August 19, 1965","New York City, New York, USA","https://m.media-amazon.com/images/M/MV5BMTY0ODIyNTI2NF5BMl5BanBnXkFtZTcwOTczMzc4MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0001718
nm0941777,Sam Worthington,Actor,"Actor,Producer,Director",Avatar,"Avatar,Terminator Salvation,Clash of the Titans,Avatar: The Way of Water",1.75 m,"August 2, 1976","Godalming, Surrey, England, UK","https://m.media-amazon.com/images/M/MV5BZWUwNmEwZTUtYzMxMS00ODg5LTlmYjItMGU4ZjNmN2Q1NjkwXkEyXkFqcGdeQXVyMTM1MjAxMDc3._V1_UY209_CR4,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0941777
nm4561124,Carmela Zumbado,Actress,Actress,You,"You,The Wall of Mexico,Crazy Ex-Girlfriend,The Magicians",1.63 m,"February 27, 1991","Miami, Florida, USA","https://m.media-amazon.com/images/M/MV5BOWVlOTk3NDUtZmMwNi00ZTJiLWJmYjQtYWUxZDk0NmViZDA2XkEyXkFqcGdeQXVyMjcwMzQ5OTA@._V1_UY209_CR129,0,140,209_AL_.jpg",https://www.imdb.com/name/nm4561124
nm0001745,Stellan Skarsgård,Actor,"Actor,Producer,Writer",Good Will Hunting,"Good Will Hunting,Nymphomaniac: Vol. I,Nymphomaniac: Vol. II,Amistad",1.91 m,"June 13, 1951","Gothenburg, Västra Götalands län, Sweden","https://m.media-amazon.com/images/M/MV5BMzljNGIzYjgtMTQ0MS00OWU1LTk1NWEtOWQ3ZDhmNzQ2ZDAxXkEyXkFqcGdeQXVyMDAzMDk4OQ@@._V1_UY209_CR58,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0001745
nm0837177,Jason Sudeikis,Actor,"Actor,Writer,Producer",Ted Lasso,"Ted Lasso,Colossal,We're the Millers,Horrible Bosses",(1.85 m,"September 18, 1975","Fairfax, Virginia, USA","https://m.media-amazon.com/images/M/MV5BMjE3NTE4Nzg3Ml5BMl5BanBnXkFtZTgwODc5OTUxMTI@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0837177
nm0000104,Antonio Banderas,Actor,"Actor,Producer,Writer",The Mask of Zorro,"The Mask of Zorro,La Piel Que Habito,The 13th Warrior,Desperado",(1.74 m,"August 10, 1960","Málaga, Málaga, Andalucía, Spain","https://m.media-amazon.com/images/M/MV5BMTUyOTQ3NTYyNF5BMl5BanBnXkFtZTcwMTY2NjIzNQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000104
nm0000149,Jodie Foster,Actress,"Actress,Director,Producer",The Silence of the Lambs,"The Silence of the Lambs,The Brave One,Taxi Driver,The Accused",1.60 m,"November 19, 1962","Los Angeles, California, USA","https://m.media-amazon.com/images/M/MV5BMTM3MjgyOTQwNF5BMl5BanBnXkFtZTcwMDczMzEwNA@@._V1_UY209_CR1,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000149
nm1119645,Lynn Shelton,Director,"Director,Actress,Producer",Humpday,"Humpday,Your Sister's Sister,Sword of Trust,Laggies",1.60 m,"August 27, 1965","Oberlin, Ohio, USA","https://m.media-amazon.com/images/M/MV5BNjIyOGVjODEtNzBkNi00OTlmLThhNGYtNTVlOTI5Mzk1MmMyXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UY209_CR7,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1119645
nm4277427,Tasie Lawrence,Actress,Actress,House of Anubis,"House of Anubis,Shoot Me Nicely,Good Kids,Criminal Minds",1.57 m,"December 22, 1990","Brighton, England, UK","https://m.media-amazon.com/images/M/MV5BMTY5NTA3OTc3OV5BMl5BanBnXkFtZTgwNzIwNTU1MTE@._V1_UY209_CR3,0,140,209_AL_.jpg",https://www.imdb.com/name/nm4277427
nm0005210,Tim McGraw,Actor,"Music Artist,Actor,Music Department",Tomorrowland,"Tomorrowland,The Blind Side,Friday Night Lights,Flicka",(1.78 m,"May 1, 1967","Delhi, Louisiana, USA","https://m.media-amazon.com/images/M/MV5BMjcyNTkyOTY4OV5BMl5BanBnXkFtZTcwODI2NzQ5Mg@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0005210
nm4874651,Dove Cameron,Actress,"Actress,Music Department,Composer",Schmigadoon!,"Schmigadoon!,Agents of S.H.I.E.L.D.,Hairspray Live!,Descendants",1.57 m,"January 15, 1996","Bainbridge Island, Washington, USA","https://m.media-amazon.com/images/M/MV5BY2YxZGE3YmYtZTllZC00NDRlLTg0ZDAtNmY2NTAyZjY4ZTQ3XkEyXkFqcGdeQXVyMTQ5NDEyNDg1._V1_UY209_CR2,0,140,209_AL_.jpg",https://www.imdb.com/name/nm4874651
nm0803890,Gustaf Skarsgård,Actor,"Actor,Director,Writer",Vikings,"Vikings,Westworld,The Way Back,Ondskan",1.93 m,"November 12, 1980","Stockholm, Stockholms län, Sweden","https://m.media-amazon.com/images/M/MV5BMTQ3NDIwNjgyMF5BMl5BanBnXkFtZTgwNDU4MjI1OTE@._V1_UY209_CR87,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0803890
nm0000398,Sally Field,Actress,"Actress,Producer,Director",Forrest Gump,"Forrest Gump,Lincoln,Smokey and the Bandit,Steel Magnolias",1.57 m,"November 6, 1946","Pasadena, California, USA","https://m.media-amazon.com/images/M/MV5BMTQwOTMyMDI4MV5BMl5BanBnXkFtZTcwMDYzMTM5OA@@._V1_UY209_CR6,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000398
nm6217576,Charles Melton,Actor,"Actor,Soundtrack",Riverdale,"Riverdale,The Sun Is Also a Star,Bad Boys for Life,American Horror Story",1.85 m,"January 4, 1991","Juneau, Alaska, USA","https://m.media-amazon.com/images/M/MV5BZDJiODA5YTYtZjc3MS00NWU3LThjZjktMDdjYmUzNGQzZmYwXkEyXkFqcGdeQXVyNDg3NDI3NjI@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm6217576
nm6595038,Felix Mallard,Actor,"Actor,Music Department,Soundtrack",All the Bright Places,"All the Bright Places,Neighbours,Neighbours vs. Time Travel,Zoey's Extraordinary Playlist",1.85 m,"April 20, 1998","Melbourne, Australia","https://m.media-amazon.com/images/M/MV5BN2RmZDg3ODMtOWFjZi00YWRlLWI5YTMtNWYzMzQ1OTQzMTUxXkEyXkFqcGdeQXVyNjk0Nzg1NDU@._V1_UY209_CR11,0,140,209_AL_.jpg",https://www.imdb.com/name/nm6595038
nm8412536,Milly Shapiro,Actress,Actress,Hereditary,"Hereditary,The 67th Annual Tony Awards,87th Annual Macy's Thanksgiving Day Parade",1.85 m,"July 16, 2002","Tampa, Florida, USA","https://m.media-amazon.com/images/M/MV5BYjhkYmYwMmMtYzBlNS00ZjEyLWI5YWMtNDFlYzM3NGVkYWVjXkEyXkFqcGdeQXVyODQ4NjkzNjQ@._V1_UY209_CR86,0,140,209_AL_.jpg",https://www.imdb.com/name/nm8412536
nm0001467,Jared Leto,Actor,"Actor,Producer,Director",Dallas Buyers Club,"Dallas Buyers Club,Suicide Squad,Morbius,Requiem for a Dream",(1.80 m,"December 26, 1971","Bossier City, Louisiana, USA","https://m.media-amazon.com/images/M/MV5BMTczMjUwNDUzMF5BMl5BanBnXkFtZTgwNDA4OTAzMTE@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0001467
nm0000164,Anthony Hopkins,Actor,"Actor,Composer,Producer",The Silence of the Lambs,"The Silence of the Lambs,Hitchcock,The World's Fastest Indian,Hannibal",1.75 m,"December 31, 1937","Margam, Port Talbot, West Glamorgan, Wales, UK","https://m.media-amazon.com/images/M/MV5BMTg5ODk1NTc5Ml5BMl5BanBnXkFtZTYwMjAwOTI4._V1_UY209_CR5,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000164
nm0278979,Jenna Fischer,Actress,"Actress,Producer,Writer",The Office,"The Office,The Giant Mechanical Man,Walk Hard: The Dewey Cox Story,Blades of Glory",1.68 m,"March 7, 1974","Fort Wayne, Indiana, USA","https://m.media-amazon.com/images/M/MV5BMTMyOTYzODQ5MF5BMl5BanBnXkFtZTcwMjE3MDgzMQ@@._V1_UY209_CR13,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0278979
nm1211488,Lynn Collins,Actress,Actress,X-Men Origins: Wolverine,"X-Men Origins: Wolverine,John Carter,The Merchant of Venice,The Number 23",1.73 m,"May 16, 1977","Houston, Texas, USA","https://m.media-amazon.com/images/M/MV5BMTQ2NzY3NzMzM15BMl5BanBnXkFtZTYwNzEzNTE2._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1211488
nm0267506,Anna Faris,Actress,"Actress,Producer,Writer",The House Bunny,"The House Bunny,Just Friends,Scary Movie,Scary Movie 4",1.63 m,"November 29, 1976","Baltimore, Maryland, USA","https://m.media-amazon.com/images/M/MV5BMjA5MTY5NjMyMF5BMl5BanBnXkFtZTcwNjM0NTI4Mw@@._V1_UY209_CR10,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0267506
nm0383603,Freddie Highmore,Actor,"Actor,Producer,Director",Finding Neverland,"Finding Neverland,Charlie and the Chocolate Factory,Bates Motel,The Art of Getting By",(1.80 m,"February 14, 1992","Camden Town, London, England, UK","https://m.media-amazon.com/images/M/MV5BMjEzNjAzMTgzMV5BMl5BanBnXkFtZTcwNjU2NjA2NQ@@._V1_UY209_CR9,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0383603
nm0324658,Walton Goggins,Actor,"Actor,Producer,Soundtrack",Justified,"Justified,The Hateful Eight,Predators,Django Unchained",(1.78 m,"November 10, 1971","Birmingham, Alabama, USA","https://m.media-amazon.com/images/M/MV5BMzcxNjJiMWUtMDgwYS00MDg0LWJmZGQtMWNlMTIwNDhhODQ0XkEyXkFqcGdeQXVyNDg4OTQzNjg@._V1_UY209_CR4,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0324658
nm1620783,Meghan Markle,Actress,"Actress,Producer,Writer",Remember Me,"Remember Me,Horrible Bosses,A Lot Like Love,Fringe",1.68 m,"August 4, 1981","Los Angeles, California, USA","https://m.media-amazon.com/images/M/MV5BMjExNzU3ODY3NF5BMl5BanBnXkFtZTcwMjI0MzM0OA@@._V1_UY209_CR31,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1620783
nm7584896,Sydney Chandler,Actress,"Actress,Writer",Don't Worry Darling,"Don't Worry Darling,Pistol,Chemistry,Coercion",,,,"https://m.media-amazon.com/images/M/MV5BMTZiODhjZjAtNGEzYi00OGVlLWIxZjQtODEyNzkyNWNhOGZiXkEyXkFqcGdeQXVyMTAwNzQwMzYx._V1_UY209_CR13,0,140,209_AL_.jpg",https://www.imdb.com/name/nm7584896
nm0005342,Norman Reedus,Actor,"Actor,Producer,Additional Crew",The Walking Dead,"The Walking Dead,The Boondock Saints,Blade II,The Boondock Saints II: All Saints Day", (1.79 m,"January 6, 1969","Hollywood, Florida, USA","https://m.media-amazon.com/images/M/MV5BMTQ5ODE4NTgzMl5BMl5BanBnXkFtZTcwODI0MjAwMw@@._V1_UY209_CR4,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0005342
nm0000670,Lea Thompson,Actress,"Actress,Director,Producer",Back to the Future,"Back to the Future,The Year of Spectacular Men,The Trouble with the Truth,Switched at Birth",1.60 m,"May 31, 1961","Rochester, Minnesota, USA","https://m.media-amazon.com/images/M/MV5BNDk3NGRkN2QtMmRiMy00OGRlLTk1M2ItYTc5NTdlYmViNDQ5XkEyXkFqcGdeQXVyMjA3MjIzMDA@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000670
nm1913734,Rooney Mara,Actress,"Actress,Producer,Costume Designer",The Girl with the Dragon Tattoo,"The Girl with the Dragon Tattoo,Carol,The Social Network,Side Effects",1.60 m,"April 17, 1985","Bedford, New York, USA","https://m.media-amazon.com/images/M/MV5BMTM2NDE3MDk1OF5BMl5BanBnXkFtZTcwNjI1MDY0Nw@@._V1_UY209_CR2,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1913734
nm0005188,James Marsden,Actor,"Actor,Soundtrack",Hairspray,"Hairspray,X-Men,Enchanted,Superman Returns",(1.78 m,"September 18, 1973","Stillwater, Oklahoma, USA","https://m.media-amazon.com/images/M/MV5BMTQyOTUzNjc0MF5BMl5BanBnXkFtZTcwNTYyMDYzMw@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0005188
nm0004787,Saffron Burrows,Actress,"Actress,Director,Producer",You,"You,Mozart in the Jungle,The Bank Job,Troy",3 m,"October 22, 1972","London, England, UK","https://m.media-amazon.com/images/M/MV5BZDkwOTAxMzYtY2E4NC00ODM0LTk4NWItNjBiNmFkYjlkMTc5XkEyXkFqcGdeQXVyMjE0NjUzOQ@@._V1_UY209_CR23,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0004787
nm0000132,Claire Danes,Actress,"Actress,Producer,Soundtrack",My So-Called Life,"My So-Called Life,Homeland,Romeo + Juliet,The Hours",(1.66 m,"April 12, 1979","Manhattan, New York City, New York, USA","https://m.media-amazon.com/images/M/MV5BMTMyMzQ1Mjk3M15BMl5BanBnXkFtZTcwNzk3ODMxNw@@._V1_UY209_CR10,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000132
nm7509279,Teagan Croft,Actress,"Actress,Producer",Titans,"Titans,Science Fiction Volume One: The Osiris Child,True Spirit,Woman of a Certain Sage",1.63 m,"April 23, 2004","Sydney, New South Wales, Australia","https://m.media-amazon.com/images/M/MV5BYmEzZTQ5ZmEtZTczOS00MzZjLTg4MmYtYTU5ODI2ZmY1NTI0XkEyXkFqcGdeQXVyMTQzNDQxMTE3._V1_UY209_CR7,0,140,209_AL_.jpg",https://www.imdb.com/name/nm7509279
nm0004395,Adam Scott,Actor,"Actor,Producer,Director",Parks and Recreation,"Parks and Recreation,Step Brothers,Severance,Big Little Lies",1.75 m,"April 3, 1973","Santa Cruz, California, USA","https://m.media-amazon.com/images/M/MV5BOGUwZmFkODEtMWYwMi00NjE2LThhYzYtMmMxMTMyYTRhMzIxXkEyXkFqcGdeQXVyOTIyNzUwNjI@._V1_UY209_CR6,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0004395
nm1208167,Diane Kruger,Actress,"Actress,Producer,Camera and Electrical Department",Inglourious Basterds,"Inglourious Basterds,In the Fade,National Treasure,Unknown",1.70 m,"July 15, 1976","Algermissen, Lower Saxony, West Germany","https://m.media-amazon.com/images/M/MV5BMTM3MzY0Nzk2Ml5BMl5BanBnXkFtZTcwODQ0MTMyMw@@._V1_UY209_CR1,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1208167
nm1913125,Ramón Rodríguez,Actor,"Actor,Producer,Director",Transformers: Revenge of the Fallen,"Transformers: Revenge of the Fallen,Need for Speed,Battle: Los Angeles,The Language of Ball",(1.80 m,"December 20, 1979","Río Piedras, Puerto Rico","https://m.media-amazon.com/images/M/MV5BMTg2NjM2MTMxM15BMl5BanBnXkFtZTgwMTUxOTU3MjE@._V1_UY209_CR87,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1913125
nm0000658,Meryl Streep,Actress,"Actress,Producer,Additional Crew",Out of Africa,"Out of Africa,August: Osage County,The Devil Wears Prada,Sophie's Choice",1.68 m,"June 22, 1949","Summit, New Jersey, USA","https://m.media-amazon.com/images/M/MV5BMTU4Mjk5MDExOF5BMl5BanBnXkFtZTcwOTU1MTMyMw@@._V1_UY209_CR4,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000658
nm1933128,Bailee Madison,Actress,"Actress,Producer,Soundtrack",Bridge to Terabithia,"Magical City Terabithia,Brothers,Just Go with It,Don't Be Afraid of the Dark",1.68 m,"October 15, 1999","Fort Lauderdale, Florida, USA","https://m.media-amazon.com/images/M/MV5BZmNjMzg5YjYtMWNmNy00ZGY1LWE3MGMtOTBhYWY0ZmY1MGE3XkEyXkFqcGdeQXVyMTAwNjAwODg@._V1_UY209_CR12,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1933128
nm3400186,Julia Garner,Actress,"Actress,Producer",Ozark,"Ozark,Martha Marcy May Marlene,Sin City: A Dame to Kill For,The Assistant",1.65 m,"February 1, 1994","Bronx, New York City, New York, USA","https://m.media-amazon.com/images/M/MV5BNmU3NDRjMDEtNTQ2Ni00ZGZmLTk3ZjUtODUxMjA2NGY4NDg4XkEyXkFqcGdeQXVyMjQzMDM0NDU@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm3400186
nm0000125,Sean Connery,Actor,"Actor,Producer,Director",Dr. No,"The Rock,Dr. No,The Untouchables,The Name of the Rone",(1.90 m,"August 25, 1930","Edinburgh, Scotland, UK","https://m.media-amazon.com/images/M/MV5BMzcwNTM4MzctYjQzMi00NTA2LTljYWItNTYzNmE1MTYxN2RlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UY209_CR11,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000125
nm5607823,Jack Champion,Actor,Actor,Avatar: The Way of Water,"Avatar: The Way of Water,Avatar 3,The Night Sitter,Avengers: Endgame",1.85 m,"November 16, 2004",USA,"https://m.media-amazon.com/images/M/MV5BNGFiNjM2YzItMDJlNC00ODc4LTk2NTMtZDA1YmIwMGNiNmE1XkEyXkFqcGdeQXVyNTU3ODc2ODU@._V1_UY209_CR86,0,140,209_AL_.jpg",https://www.imdb.com/name/nm5607823
nm0910076,Lisa Ann Walter,Actress,"Actress,Producer,Writer",The Parent Trap,"The Parent Trap,Bruce Almighty,Let's Dance,GLOW",1.63 m,August 3,"Silver Spring, Maryland, USA","https://m.media-amazon.com/images/M/MV5BYmJjYThlYjctYzlkNC00MjdmLTg2NzItNWEyNDlmZDUxNDA4XkEyXkFqcGdeQXVyNTgwNzc2MjE@._V1_UY209_CR1,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0910076
nm0374865,Simon Helberg,Actor,"Actor,Producer,Writer",The Big Bang Theory,"The Big Bang Theory,Florence Foster Jenkins,We'll Never Have Paris,A Serious Man",1.70 m,"December 9, 1980","Los Angeles, California, USA","https://m.media-amazon.com/images/M/MV5BMzk4ZWFlY2EtZmY3Ny00MGM0LWFiNTgtZDg4YmQ5YTIzZTNjXkEyXkFqcGdeQXVyODY3NzcwMTE@._V1_UY209_CR11,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0374865
nm2637109,Catherine Haena Kim,Actress,Actress,The Company You Keep,"The Company You Keep,Ballers,FBI,Ghosts of Girlfriends Past",1.63 m,May 19,"Queens, New York, USA","https://m.media-amazon.com/images/M/MV5BOWQzNTM0MzMtZjJlMC00NjY4LTkxYzktOGMzNTVkYjY2M2U3XkEyXkFqcGdeQXVyMTU2OTAxOTc@._V1_UY209_CR5,0,140,209_AL_.jpg",https://www.imdb.com/name/nm2637109
nm1055413,Michael Fassbender,Actor,"Actor,Producer,Executive",Shame,"Shame,Prometheus,X: First Class,Steve Jobs",3 m,"April 2, 1977","Heidelberg, Baden-Württemberg, West Germany","https://m.media-amazon.com/images/M/MV5BMTk0NjM2MTE5M15BMl5BanBnXkFtZTcwODIxMzcyNw@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1055413
nm1063517,Kathryn Hahn,Actress,"Actress,Producer,Writer",Afternoon Delight,"Afternoon Delight,Transparent,Free Agents,Bad Moms",1.65 m,"July 23, 1973","Westchester, Illinois, USA","https://m.media-amazon.com/images/M/MV5BMjE1OTcxNDczMl5BMl5BanBnXkFtZTcwMDA1NDcyMQ@@._V1_UY209_CR10,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1063517
nm1602660,Ben Barnes,Actor,"Actor,Soundtrack",The Chronicles of Narnia: Prince Caspian,"The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: The Voyage of the Dawn Treader,Seventh Son,The Big Wedding",1.85 m,"August 20, 1981","London, England, UK","https://m.media-amazon.com/images/M/MV5BNTAyNDY4NzgxMF5BMl5BanBnXkFtZTgwMTg2NTQxNDM@._V1_UY209_CR20,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1602660
nm9476408,Hunter Schafer,Actress,"Actress,Director,Writer",Euphoria,"Euphoria,The Hunger Games: The Ballad of Songbirds and Snakes,Cuckoo,Belle: The Dragon and the Freckled Princess",(1.78 m,"December 31, 1999","Trenton, New Jersey, USA","https://m.media-amazon.com/images/M/MV5BYTE4ZmU3NTQtMWY0OC00YmQ5LThlOTEtMTc3NjcwZjMwN2QzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm9476408
nm0000191,Ewan McGregor,Actor,"Actor,Producer,Writer",Moulin Rouge!,"Moulin Rouge!,Trainspotting,August: Osage County,T2 Trainspotting",(1.77 m,"March 31, 1971","Perth, Perthshire, Scotland, UK","https://m.media-amazon.com/images/M/MV5BMTg1MjQ0MDg0Nl5BMl5BanBnXkFtZTcwNjYyNjI5Mg@@._V1_UY209_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000191
nm0511088,Andrew Lincoln,Actor,"Actor,Director,Producer",The Walking Dead,"The Walking Dead,Love Actually,Teachers,Afterlife",(1.78 m,"September 14, 1973","London, England, UK","https://m.media-amazon.com/images/M/MV5BMjI2NDYyNjg4NF5BMl5BanBnXkFtZTcwMjI5OTMwNA@@._V1_UY209_CR7,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0511088
nm1330560,Garrett Hedlund,Actor,"Actor,Producer,Soundtrack",Tron,"Tron,Mudbound,On the Road,Four Brothers",(1.91 m,"September 3, 1984","Roseau, Minnesota, USA","https://m.media-amazon.com/images/M/MV5BMTM0NDM1NTMwNF5BMl5BanBnXkFtZTYwMTE0NTgz._V1_UY209_CR1,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1330560
nm0001683,Roseanne Barr,Producer,"Producer,Actress,Writer",Roseanne,"Roseanne,Look Who's Talking Too,Freddy's Dead: The Final Nightmare,She-Devil",1.63 m,"November 3, 1952","Salt Lake City, Utah, USA","https://m.media-amazon.com/images/M/MV5BMTkwMjcwMTA0NF5BMl5BanBnXkFtZTcwOTcyOTI5NQ@@._V1_UY209_CR8,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0001683
nm0001321,Richard Harris,Actor,"Actor,Producer,Director",Unforgiven,"Unforgiven,Gladiator,Camelot,The Count of Monte Cristo",(1.84 m,"October 1, 1930","Limerick, Ireland","https://m.media-amazon.com/images/M/MV5BMTA1ZTU0ODQtODc5MC00MzBhLTk4NmEtYjcwMmRkZTMwODVjXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_UY209_CR7,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0001321
nm0524197,Josh Lucas,Actor,"Actor,Producer,Cinematographer",Ford v Ferrari,"Ford v. Ferrari,Sweet Home Alabama,Glory Road,Yellowstone", (1.82 m,"June 20, 1971","Fayetteville, Arkansas, USA","https://m.media-amazon.com/images/M/MV5BY2UzNDlhZmYtYWM5MS00OWExLWJlYWYtNzc2ZDdlMjkxN2JjXkEyXkFqcGdeQXVyMzYwNzUyOTM@._V1_UY209_CR25,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0524197
nm0001633,Annie Potts,Actress,"Actress,Producer,Soundtrack",Ghostbusters,"Ghostbusters,Toy Story 4,Pretty in Pink,Designing Women",1.60 m,"October 28, 1952","Nashville, Tennessee, USA","https://m.media-amazon.com/images/M/MV5BMjA0NjkyMDIzMF5BMl5BanBnXkFtZTcwNjc2NTUyMQ@@._V1_UY209_CR8,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0001633
nm0015196,Malin Akerman,Actress,"Actress,Producer,Soundtrack",Watchmen,"Watchmen,The Final Girls,Rock of Ages,The Heartbreak Kid",1.73 m,"May 12, 1978","Stockholm, Stockholms län, Sweden","https://m.media-amazon.com/images/M/MV5BMjA4ODAwMjIwOV5BMl5BanBnXkFtZTcwMzI2NDA2OA@@._V1_UY209_CR34,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0015196
